meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final,figure_comment
2026-07-17,DAX,1,2026-07-17_DAX_1,SISSY DU GROHO,1.0,1400,Bon souple,Turf,5,4,131.17488999999998,82.4,0.0,0.00040003473757681214,104.19563594881312,5.1748899999999765,0.0,70.01573448950003,70.01573448950003,
2026-07-17,DAX,1,2026-07-17_DAX_1,BARE ELEGANCE,2.0,1400,Bon souple,Turf,5,5,122.35640999999998,,0.75,0.00040003473757681214,101.99830302599374,-3.6435900000000174,0.0,62.591076579519765,62.591076579519765,
2026-07-17,DAX,1,2026-07-17_DAX_1,SELENIEN,3.0,1400,Bon souple,Turf,5,4,139.99337,,2.25,0.00040003473757681214,97.60363718035498,13.993369999999999,0.0,71.51638283955926,71.51638283955926,
2026-07-17,DAX,1,2026-07-17_DAX_1,MAROON SIX,4.0,1400,Bon souple,Turf,5,7,124.56102999999999,,2.5,0.00040003473757681214,96.87119287274852,-1.4389700000000119,0.0,60.621318216232496,60.621318216232496,
2026-07-17,DAX,1,2026-07-17_DAX_1,EL BOSNIA,5.0,1400,Bon souple,Turf,5,9,126.76565,,2.75,0.00040003473757681214,96.13874856514207,0.7656499999999937,0.0,61.61356463290575,61.61356463290575,
2026-07-17,DAX,1,2026-07-17_DAX_1,LAUPER,6.0,1400,Bon souple,Turf,5,7,125.66333999999999,,3.5,0.00040003473757681214,93.94141564232268,-0.33666000000000906,0.0,59.38960530292548,59.38960530292548,
2026-07-17,DAX,1,2026-07-17_DAX_1,KHELONYX,7.0,1400,Bon souple,Turf,5,4,119.04947999999999,,5.0,0.00040003473757681214,89.54674979668393,-6.950520000000012,0.0,51.96985888296496,51.96985888296496,
2026-07-17,DAX,1,2026-07-17_DAX_1,ABACUR,8.0,1400,Bon souple,Turf,5,5,125.66333999999999,,8.5,0.00040003473757681214,79.29252949019349,-0.33666000000000906,0.0,49.5162560363904,49.5162560363904,
2026-07-17,DAX,1,2026-07-17_DAX_1,RAPIDO PRESTO,9.0,1400,Bon souple,Turf,5,8,119.04947999999999,,26.5,0.00040003473757681214,37.021401117011266,-6.950520000000012,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,1,2026-07-17_DAX_1,MEHMIST,10.0,1400,Bon souple,Turf,5,4,131.17488999999998,,35.0,0.00040003473757681214,24.569847887701442,5.1748899999999765,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,2,2026-07-17_DAX_2,SEVENSIX,1.0,1200,Bon souple,Turf,5,2,120.15178999999999,72.7,0.0,0.00040003473757681214,79.63046488928651,-5.848210000000009,12.0,54.117239795379106,54.117239795379106,
2026-07-17,DAX,2,2026-07-17_DAX_2,STRELLING,2.0,1200,Bon souple,Turf,5,2,124.56102999999999,,1.5,0.00040003473757681214,74.73469377599908,-1.4389700000000119,12.0,53.78931782502337,53.78931782502337,
2026-07-17,DAX,2,2026-07-17_DAX_2,DESEJO,3.0,1200,Bon souple,Turf,5,2,123.45871999999999,,6.0,0.00040003473757681214,60.047380436136784,-2.5412800000000146,12.0,43.14711169395618,43.14711169395618,
2026-07-17,DAX,2,2026-07-17_DAX_2,APPEN,4.0,1200,Bon souple,Turf,5,2,124.56102999999999,,7.25,0.00040003473757681214,55.967571175063924,-1.4389700000000119,12.0,41.14027719199308,41.14027719199308,
2026-07-17,DAX,2,2026-07-17_DAX_2,SHELLONA,5.0,1200,Bon souple,Turf,5,2,124.56102999999999,,7.4,0.00040003473757681214,55.47799406373518,-1.4389700000000119,12.0,40.8103022189575,40.8103022189575,
2026-07-17,DAX,2,2026-07-17_DAX_2,EL TELENO,6.0,1200,Bon souple,Turf,5,2,127.86795999999998,,11.9,0.00040003473757681214,40.790680723872875,1.8679599999999823,12.0,33.1399238478903,33.1399238478903,
2026-07-17,DAX,2,2026-07-17_DAX_2,MERCI AGATHE,7.0,1200,Bon souple,Turf,5,2,124.56102999999999,,14.9,0.00040003473757681214,30.999138497298013,-1.4389700000000119,12.0,24.311553567178855,24.311553567178855,
2026-07-17,DAX,2,2026-07-17_DAX_2,CELINISSIME,8.0,1200,Bon souple,Turf,5,2,120.15178999999999,,15.05,0.00040003473757681214,30.50956138596927,-5.848210000000009,12.0,21.009750834143286,21.009750834143286,
2026-07-17,DAX,3,2026-07-17_DAX_3,VARENNE,1.0,2100,Bon souple,Turf,6,4,131.17488999999998,131.7,0.0,0.00040003473757681214,100.0,5.1748899999999765,0.0,67.18787585999999,67.18787585999999,
2026-07-17,DAX,3,2026-07-17_DAX_3,ATAMAK,2.0,2100,Bon souple,Turf,6,4,132.2772,,6.5,0.00040003473757681214,87.49834979076746,6.2771999999999935,0.0,59.50472055897727,59.50472055897727,
2026-07-17,DAX,3,2026-07-17_DAX_3,MASSKO,3.0,2100,Bon souple,Turf,6,4,132.2772,,7.5,0.00040003473757681214,85.57501898934707,6.2771999999999935,0.0,58.208395598819926,58.208395598819926,
2026-07-17,DAX,3,2026-07-17_DAX_3,CHARM KING,4.0,2100,Bon souple,Turf,6,9,130.07258,,8.25,0.00040003473757681214,84.13252088828177,4.072579999999988,0.0,55.75023799870191,55.75023799870191,
2026-07-17,DAX,3,2026-07-17_DAX_3,SEDITION,5.0,2100,Bon souple,Turf,6,4,132.2772,,8.28,0.00040003473757681214,84.07482096423917,6.2771999999999935,0.0,57.1972621298972,57.1972621298972,
2026-07-17,DAX,3,2026-07-17_DAX_3,STARECTO,6.0,2100,Bon souple,Turf,6,5,128.97027,,8.53,0.00040003473757681214,83.59398826388407,2.9702699999999993,0.0,54.644310069857866,54.644310069857866,
2026-07-17,DAX,3,2026-07-17_DAX_3,DAKOVKA,7.0,2100,Bon souple,Turf,6,5,128.97027,,9.03,0.00040003473757681214,82.63232286317387,2.9702699999999993,0.0,53.99614758977919,53.99614758977919,
2026-07-17,DAX,3,2026-07-17_DAX_3,READY TO GO,8.0,2100,Bon souple,Turf,6,4,132.2772,,9.28,0.00040003473757681214,82.15149016281877,6.2771999999999935,0.0,55.90093716973985,55.90093716973985,
2026-07-17,DAX,3,2026-07-17_DAX_3,ZIARAH DE SAON,9.0,2100,Bon souple,Turf,6,4,123.45871999999999,,10.28,0.00040003473757681214,80.22815936139838,-2.5412800000000146,0.0,48.6609566895825,48.6609566895825,
2026-07-17,DAX,3,2026-07-17_DAX_3,AL ALAALI,10.0,2100,Bon souple,Turf,6,6,130.07258,,11.03,0.00040003473757681214,78.7856612603331,4.072579999999988,0.0,52.1464546094645,52.1464546094645,
2026-07-17,DAX,3,2026-07-17_DAX_3,QUDILLERO,11.0,2100,Bon souple,Turf,6,10,125.66333999999999,,12.03,0.00040003473757681214,76.86233045891271,-0.33666000000000906,0.0,47.87830188930716,47.87830188930716,
2026-07-17,DAX,3,2026-07-17_DAX_3,IWANTOBREAK FREE,12.0,2100,Bon souple,Turf,6,6,126.76565,,15.030000000000001,0.00040003473757681214,71.09233805465153,0.7656499999999937,0.0,44.73228394883513,44.73228394883513,
2026-07-17,DAX,3,2026-07-17_DAX_3,VALZAK,13.0,2100,Bon souple,Turf,6,5,127.86795999999998,,16.28,0.00040003473757681214,68.68817455287605,1.8679599999999823,0.0,43.85483468863845,43.85483468863845,
2026-07-17,DAX,4,2026-07-17_DAX_4,THE MAGIC MAN,1.0,2100,Bon souple,Turf,6,9,127.86795999999998,131.2,0.0,0.00040003473757681214,100.0,1.8679599999999823,0.0,64.95900504,64.95900504,
2026-07-17,DAX,4,2026-07-17_DAX_4,THECLIMB,2.0,2100,Bon souple,Turf,6,8,130.07258,,1.5,0.00040003473757681214,97.10400914770885,4.072579999999988,0.0,64.49302108555575,64.49302108555575,
2026-07-17,DAX,4,2026-07-17_DAX_4,ZELICA,3.0,2100,Bon souple,Turf,6,5,124.56102999999999,,3.5,0.00040003473757681214,93.24268801132067,-1.4389700000000119,0.0,58.17570593963012,58.17570593963012,
2026-07-17,DAX,4,2026-07-17_DAX_4,MOON OF THE NIGHT,4.0,2100,Bon souple,Turf,6,4,124.56102999999999,,4.75,0.00040003473757681214,90.82936230107805,-1.4389700000000119,0.0,56.549124410926595,56.549124410926595,
2026-07-17,DAX,4,2026-07-17_DAX_4,SWEET NEBULA,5.0,2100,Bon souple,Turf,6,5,128.97027,,5.75,0.00040003473757681214,88.89870173288395,2.9702699999999993,0.0,58.21968694796378,58.21968694796378,
2026-07-17,DAX,4,2026-07-17_DAX_4,SNATCHER,6.0,2100,Bon souple,Turf,6,5,131.17488999999998,,7.0,0.00040003473757681214,86.48537602264133,5.1748899999999765,0.0,58.079019299260246,58.079019299260246,
2026-07-17,DAX,4,2026-07-17_DAX_4,GWENN HA DU,7.0,2100,Bon souple,Turf,6,6,132.2772,,7.1,0.00040003473757681214,86.29230996582191,6.2771999999999935,0.0,58.691849716963965,58.691849716963965,
2026-07-17,DAX,4,2026-07-17_DAX_4,TOUQUETOISE,8.0,2100,Bon souple,Turf,6,5,132.2772,,10.1,0.00040003473757681214,80.50032826123963,6.2771999999999935,0.0,54.78805404807551,54.78805404807551,
2026-07-17,DAX,4,2026-07-17_DAX_4,MOREA,9.0,2100,Bon souple,Turf,6,7,124.56102999999999,,10.6,0.00040003473757681214,79.53499797714258,-1.4389700000000119,0.0,48.936722856594095,48.936722856594095,
2026-07-17,DAX,4,2026-07-17_DAX_4,QUARTIER MAITRE,10.0,2100,Bon souple,Turf,6,5,131.17488999999998,,21.6,0.00040003473757681214,60.463733548365134,5.1748899999999765,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,4,2026-07-17_DAX_4,HARIASA,11.0,2100,Bon souple,Turf,6,7,130.07258,,27.1,0.00040003473757681214,55.154416985831375,4.072579999999988,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,4,2026-07-17_DAX_4,NIKITA DU MAZET,12.0,2100,Bon souple,Turf,6,7,124.56102999999999,,33.6,0.00040003473757681214,48.87977013920056,-1.4389700000000119,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,4,2026-07-17_DAX_4,ZOKOA,13.0,2100,Bon souple,Turf,6,6,131.17488999999998,,49.6,0.00040003473757681214,33.43448559364779,5.1748899999999765,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,4,2026-07-17_DAX_4,SOUND OF SILENCE,14.0,2100,Bon souple,Turf,6,4,125.66333999999999,,58.1,0.00040003473757681214,25.229178178822877,-0.33666000000000906,0.0,,,excluded: beaten >20 lengths
2026-07-17,DAX,5,2026-07-17_DAX_5,CENTAURI,1.0,2100,Bon souple,Turf,5,3,125.66333999999999,131.5,0.0,0.00040003473757681214,107.28630750421553,-0.33666000000000906,1.5609639704127893,69.43615213389948,69.43615213389948,
2026-07-17,DAX,5,2026-07-17_DAX_5,LE LEGIONNAIRE,2.0,2100,Bon souple,Turf,5,3,125.66333999999999,,0.15,0.00040003473757681214,106.99736910131013,-0.33666000000000906,1.5609639704127893,69.24140765034124,69.24140765034124,
2026-07-17,DAX,5,2026-07-17_DAX_5,MODELE ABSOLU,3.0,2100,Bon souple,Turf,5,3,125.66333999999999,,1.4,0.00040003473757681214,104.58954907709848,-0.33666000000000906,1.5609639704127893,67.61853695402259,67.61853695402259,
