meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final,figure_comment
2026-08-15,DEA,1,2026-08-15_DEA_1,RABBIT'S FOOT,1.0,2500,Bon souple,Turf,2,4,130.07258,164.44,0.0,0.0016494203055798906,105.491308105677,4.072579999999988,0.0,70.1460605832263,70.1460605832263,
2026-08-15,DEA,1,2026-08-15_DEA_1,KARLA JET,2.0,2500,Bon souple,Turf,2,4,130.07258,,1.0,0.0016494203055798906,103.90600187108042,4.072579999999988,0.0,69.0775641811082,69.0775641811082,
2026-08-15,DEA,1,2026-08-15_DEA_1,INDALIMOS,3.0,2500,Bon souple,Turf,2,4,130.07258,,2.5,0.0016494203055798906,101.52804251918555,4.072579999999988,0.0,67.47481957793106,67.47481957793106,
2026-08-15,DEA,1,2026-08-15_DEA_1,EUBOA,4.0,2500,Bon souple,Turf,2,6,130.07258,,4.5,0.0016494203055798906,98.35743004999239,4.072579999999988,0.0,65.33782677369486,65.33782677369486,
2026-08-15,DEA,1,2026-08-15_DEA_1,ZAKHAROVA,5.0,2500,Bon souple,Turf,2,4,130.07258,,12.5,0.0016494203055798906,85.67498017321974,4.072579999999988,0.0,56.7898555567501,56.7898555567501,
2026-08-15,DEA,2,2026-08-15_DEA_2,BAROUD,1.0,2000,Bon souple,Turf,2,3,127.86795999999998,126.73,0.0,0.0016494203055798906,122.62013418723824,1.8679599999999823,1.0580609242026568,80.91810854511115,80.91810854511115,
2026-08-15,DEA,2,2026-08-15_DEA_2,DARYZAN,2.0,2000,Bon souple,Turf,2,3,127.86795999999998,,2.0,0.0016494203055798906,118.63236573695494,1.8679599999999823,1.0580609242026568,78.23035260962021,78.23035260962021,
2026-08-15,DEA,2,2026-08-15_DEA_2,PROOF,3.0,2000,Bon souple,Turf,2,3,127.86795999999998,,3.0,0.0016494203055798906,116.63848151181328,1.8679599999999823,1.0580609242026568,76.88647464187473,76.88647464187473,
2026-08-15,DEA,2,2026-08-15_DEA_2,MONTREAL,4.0,2000,Bon souple,Turf,2,3,127.86795999999998,,4.25,0.0016494203055798906,114.14612623038623,1.8679599999999823,1.0580609242026568,75.20662718219289,75.20662718219289,
2026-08-15,DEA,2,2026-08-15_DEA_2,HELLO JO,5.0,2000,Bon souple,Turf,2,3,127.86795999999998,,16.25,0.0016494203055798906,90.21951552868643,1.8679599999999823,1.0580609242026568,59.08009156924724,59.08009156924724,
2026-08-15,DEA,3,2026-08-15_DEA_3,ADONIDE,1.0,1200,Bon souple,Turf,3,3,121.2541,70.44,0.0,0.0016494203055798906,103.4952419156787,-4.745900000000006,3.9303268909568114,65.50609677567233,65.50609677567233,
2026-08-15,DEA,3,2026-08-15_DEA_3,FATA MORGANA,2.0,1200,Bon souple,Turf,3,3,122.35640999999998,,0.25,0.0016494203055798906,102.65303602604469,-3.6435900000000174,3.9303268909568114,65.681406946059,65.681406946059,
2026-08-15,DEA,3,2026-08-15_DEA_3,ROZARION,3.0,1200,Bon souple,Turf,3,3,124.56102999999999,,2.75,0.0016494203055798906,94.23097712970458,-1.4389700000000119,3.9303268909568114,61.49085312992577,61.49085312992577,
