meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final,figure_comment
2026-03-25,HPV,1,2026-03-25_HPV_1,JOYFUL PROSPERITY,1.0,2200,Bon,Turf,2,6,134.48182,136.86,0.0,0.00038230254066252994,96.0283207719367,8.481819999999999,0.0,69.00516488538989,69.00516488538989,
2026-03-25,HPV,1,2026-03-25_HPV_1,ROMANTIC FANTASY,2.0,2200,Bon,Turf,2,6,132.2772,,0.03,0.00038230254066252994,95.97171932960983,6.2771999999999935,0.0,67.44208376239042,67.44208376239042,
2026-03-25,HPV,1,2026-03-25_HPV_1,MANAGEMENT FOLKS,3.0,2200,Bon,Turf,2,8,134.48182,,2.03,0.00038230254066252994,92.19828984115117,8.481819999999999,0.0,66.35763601610124,66.35763601610124,
2026-03-25,HPV,1,2026-03-25_HPV_1,KASA PAPA,4.0,2200,Bon,Turf,2,9,132.2772,,2.78,0.00038230254066252994,90.78325378297916,6.2771999999999935,0.0,63.85552987542302,63.85552987542302,
2026-03-25,HPV,1,2026-03-25_HPV_1,ROSEWOOD FLEETFOOT,5.0,2200,Bon,Turf,2,6,128.97027,,3.03,0.00038230254066252994,90.31157509692183,2.9702699999999993,0.0,61.243546901168074,61.243546901168074,
2026-03-25,HPV,1,2026-03-25_HPV_1,ALL ARE MINE,6.0,2200,Bon,Turf,2,7,126.76565,,3.53,0.00038230254066252994,89.36821772480717,0.7656499999999937,0.0,59.067491113850544,59.067491113850544,
2026-03-25,HPV,1,2026-03-25_HPV_1,PERFECT PAIRING,7.0,2200,Bon,Turf,2,7,130.07258,,3.5799999999999996,0.00038230254066252994,89.2738819875957,4.072579999999988,0.0,61.288213664072686,61.288213664072686,
2026-03-25,HPV,1,2026-03-25_HPV_1,MR ALADDIN,8.0,2200,Bon,Turf,2,7,114.64023999999999,,5.08,0.00038230254066252994,86.4438098712517,-11.359760000000009,0.0,48.664225979735356,48.664225979735356,
2026-03-25,HPV,1,2026-03-25_HPV_1,CONSPIRACY WITNESS,9.0,2200,Bon,Turf,2,5,131.17488999999998,,5.13,0.00038230254066252994,86.34947413404024,5.1748899999999765,0.0,60.0286790135346,60.0286790135346,
2026-03-25,HPV,1,2026-03-25_HPV_1,SUPER HONG KONG,10.0,2200,Bon,Turf,2,9,131.17488999999998,,7.63,0.00038230254066252994,81.63268727346691,5.1748899999999765,0.0,56.76817547992788,56.76817547992788,
2026-03-25,HPV,1,2026-03-25_HPV_1,GOLDEN FAIRY,11.0,2200,Bon,Turf,2,8,122.35640999999998,,8.629999999999999,0.00038230254066252994,79.74597252923758,-3.6435900000000174,0.0,49.368153744100454,49.368153744100454,
2026-03-25,HPV,1,2026-03-25_HPV_1,CHATEAU LE PECHE,12.0,2200,Bon,Turf,2,6,119.04947999999999,,10.379999999999999,0.00038230254066252994,76.44422172683625,-6.950520000000012,0.0,44.79986864968147,44.79986864968147,
2026-03-25,HPV,2,2026-03-25_HPV_2,WIN METHOD,1.0,1650,Bon,Turf,2,4,127.86795999999998,99.87,0.0,0.00038230254066252994,99.6569908191781,1.8679599999999823,0.0,66.94163675126647,66.94163675126647,
2026-03-25,HPV,2,2026-03-25_HPV_2,TAKE ACTION,2.0,1650,Bon,Turf,2,6,122.35640999999998,,0.5,0.00038230254066252994,98.42949465535396,-3.6435900000000174,0.0,62.2832359204058,62.2832359204058,
2026-03-25,HPV,2,2026-03-25_HPV_2,OUR LUCKY GLORY,3.0,1650,Bon,Turf,2,8,116.84485999999998,,0.75,0.00038230254066252994,97.8157465734419,-9.155140000000017,0.0,58.049091654230246,58.049091654230246,
2026-03-25,HPV,2,2026-03-25_HPV_2,KOLACHI,4.0,1650,Bon,Turf,2,5,119.04947999999999,,1.0,0.00038230254066252994,97.20199849152984,-6.950520000000012,0.0,59.148790170141346,59.148790170141346,
2026-03-25,HPV,2,2026-03-25_HPV_2,YIU CHEUNG VICTORY,5.0,1650,Bon,Turf,2,7,121.2541,,1.25,0.00038230254066252994,96.58825040961776,-4.745900000000006,0.0,60.248488686052426,60.248488686052426,
2026-03-25,HPV,2,2026-03-25_HPV_2,ABSOLUTE AWAKENED,6.0,1650,Bon,Turf,2,6,126.76565,,2.0,0.00038230254066252994,94.74700616388157,0.7656499999999937,0.0,62.78560669348761,62.78560669348761,
2026-03-25,HPV,2,2026-03-25_HPV_2,RAGGA BOMB,7.0,1650,Bon,Turf,2,5,134.48182,,2.05,0.00038230254066252994,94.62425654749914,8.481819999999999,0.0,68.03459816263724,68.03459816263724,
2026-03-25,HPV,2,2026-03-25_HPV_2,PRECISION HOPE,8.0,1650,Bon,Turf,2,5,122.35640999999998,,2.0999999999999996,0.00038230254066252994,94.50150693111674,-3.6435900000000174,0.0,59.56799390642119,59.56799390642119,
