meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final,figure_comment
2026-09-04,CHA,1,2026-09-04_CHA_1,NO TURNING BACK,1.0,1600,Souple,Turf,4,3,122.35640999999998,97.2,0.0,0.0012026725882268202,114.90466429269425,-3.6435900000000174,2.953551260637875,73.28065762294585,73.28065762294585,
2026-09-04,CHA,1,2026-09-04_CHA_1,LORD CLOVER,2.0,1600,Souple,Turf,4,3,130.07258,,1.25,0.0012026725882268202,111.74323019314818,4.072579999999988,2.953551260637875,76.3505496198518,76.3505496198518,
2026-09-04,CHA,1,2026-09-04_CHA_1,MIJAS,3.0,1600,Souple,Turf,4,3,125.66333999999999,,3.75,0.0012026725882268202,105.42036199405604,-0.33666000000000906,2.953551260637875,69.1171086936637,69.1171086936637,
2026-09-04,CHA,1,2026-09-04_CHA_1,HELLO JO,4.0,1600,Souple,Turf,4,3,130.07258,,5.0,0.0012026725882268202,102.25892789450995,4.072579999999988,2.953551260637875,69.95812987056964,69.95812987056964,
2026-09-04,CHA,1,2026-09-04_CHA_1,ZANINA,5.0,1600,Souple,Turf,4,3,119.04947999999999,,8.0,0.0012026725882268202,94.67148605559939,-6.950520000000012,2.953551260637875,57.41462467114391,57.41462467114391,
2026-09-04,CHA,1,2026-09-04_CHA_1,KILKENNY WARRIOR,6.0,1600,Souple,Turf,4,3,122.35640999999998,,16.0,0.0012026725882268202,74.43830781850451,-3.6435900000000174,2.953551260637875,46.00633335934196,46.00633335934196,
2026-09-04,CHA,2,2026-09-04_CHA_2,ARIA FRESCA,1.0,1300,PSF STANDARD,All Weather,5,2,127.86795999999998,79.46,0.0,0.00019985937167194557,62.6418734182699,1.8679599999999823,12.0,47.867627723913905,47.867627723913905,
2026-09-04,CHA,2,2026-09-04_CHA_2,LA GALOPAZ,2.0,1300,PSF STANDARD,All Weather,5,2,123.45871999999999,,1.25,0.00019985937167194557,58.53642798747302,-2.5412800000000146,12.0,42.128729743556804,42.128729743556804,
2026-09-04,CHA,2,2026-09-04_CHA_2,LA BARAKA,3.0,1300,PSF STANDARD,All Weather,5,2,126.76565,,3.75,0.00019985937167194557,50.32553712587924,0.7656499999999937,12.0,38.823460122842604,38.823460122842604,
2026-09-04,CHA,2,2026-09-04_CHA_2,MARCH MADNESS,4.0,1300,PSF STANDARD,All Weather,5,2,130.07258,,3.85,0.00019985937167194557,49.997101491415485,4.072579999999988,12.0,40.83096532521403,40.83096532521403,
2026-09-04,CHA,2,2026-09-04_CHA_2,LILY ANGEL,5.0,1300,PSF STANDARD,All Weather,5,2,120.15178999999999,,6.85,0.00019985937167194557,40.14403245750296,-5.848210000000009,12.0,27.50338433635699,27.50338433635699,
2026-09-04,CHA,2,2026-09-04_CHA_2,BODY PHYSICAL,6.0,1300,PSF STANDARD,All Weather,5,2,123.45871999999999,,7.1,0.00019985937167194557,39.322943371343584,-2.5412800000000146,12.0,29.17884111228557,29.17884111228557,
2026-09-04,CHA,2,2026-09-04_CHA_2,OROPENDOLA,7.0,1300,PSF STANDARD,All Weather,5,2,130.07258,,10.6,0.00019985937167194557,27.827696165112293,4.072579999999988,12.0,25.88878613528568,25.88878613528568,
2026-09-04,CHA,2,2026-09-04_CHA_2,MR SAY,8.0,1300,PSF STANDARD,All Weather,5,2,134.48182,,11.6,0.00019985937167194557,24.543339820474785,8.481819999999999,12.0,26.646957719000007,26.646957719000007,
2026-09-04,CHA,2,2026-09-04_CHA_2,FETE DE TROP,9.0,1300,PSF STANDARD,All Weather,5,2,126.76565,,11.75,0.00019985937167194557,24.050686368779154,0.7656499999999937,12.0,21.11421071255715,21.11421071255715,
2026-09-04,CHA,3,2026-09-04_CHA_3,SHABAZI,1.0,1600,Souple,Turf,5,2,126.76565,101.07,0.0,0.0012026725882268202,75.12368188524502,0.7656499999999937,12.0,55.53740969065514,55.53740969065514,
2026-09-04,CHA,3,2026-09-04_CHA_3,IT'S ONLY LOVE,2.0,1600,Souple,Turf,5,2,120.15178999999999,,1.25,0.0012026725882268202,72.08330002637614,-5.848210000000009,12.0,49.03045067777751,49.03045067777751,
2026-09-04,CHA,3,2026-09-04_CHA_3,LAUGH IS ENOUGH,3.0,1600,Souple,Turf,5,2,126.76565,,1.3,0.0012026725882268202,71.96168475202138,0.7656499999999937,12.0,53.406223622862406,53.406223622862406,
2026-09-04,CHA,3,2026-09-04_CHA_3,FELICIE D'OR,4.0,1600,Souple,Turf,5,2,116.84485999999998,,3.05,0.0012026725882268202,67.70515014960493,-9.155140000000017,12.0,43.850706840833716,43.850706840833716,
2026-09-04,CHA,3,2026-09-04_CHA_3,WOODHAMA,5.0,1600,Souple,Turf,5,2,126.76565,,3.8,0.0012026725882268202,65.8809210342836,0.7656499999999937,12.0,49.30778887710714,49.30778887710714,
2026-09-04,CHA,3,2026-09-04_CHA_3,PINK PALACE,6.0,1600,Souple,Turf,5,2,120.15178999999999,,3.83,0.0012026725882268202,65.80795186967075,-5.848210000000009,12.0,44.800866020158075,44.800866020158075,
2026-09-04,CHA,3,2026-09-04_CHA_3,LADY DANAE,7.0,1600,Souple,Turf,5,2,116.84485999999998,,8.33,0.0012026725882268202,54.86257717774276,-9.155140000000017,12.0,35.19481265779861,35.19481265779861,
2026-09-04,CHA,3,2026-09-04_CHA_3,SO COOL,8.0,1600,Souple,Turf,5,2,127.86795999999998,,14.83,0.0012026725882268202,39.05259151162455,1.8679599999999823,12.0,31.968451718834938,31.968451718834938,
