meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final
2026-03-17,FON,1,2026-03-17_FON_1,SCARFACE,1.0,5.965163445478406,Souple,Turf,3,8,124.56102999999999,68.54,0.0,0.2609455566408595,129.3747839743286,-1.4389700000000119,0.0,96.02182356505553,96.02182356505553
2026-03-17,FON,1,2026-03-17_FON_1,PROFUMO DI IENA,2.0,5.965163445478406,Souple,Turf,3,4,133.37950999999998,,1.75,0.2609455566408595,123.23818057628998,7.379509999999982,0.0,97.88555511880749,97.88555511880749
2026-03-17,FON,1,2026-03-17_FON_1,CIAO PA',3.0,5.965163445478406,Souple,Turf,3,6,132.2772,,1.9,0.2609455566408595,122.71218599931524,6.2771999999999935,0.0,96.75398828347765,96.75398828347765
2026-03-17,FON,1,2026-03-17_FON_1,MISTER CHANG,4.0,5.965163445478406,Souple,Turf,3,4,130.07258,,2.4,0.2609455566408595,120.95887074273277,4.072579999999988,0.0,94.00347812950363,94.00347812950363
2026-03-17,FON,1,2026-03-17_FON_1,SIMPLY LOVELY,5.0,5.965163445478406,Souple,Turf,3,8,122.35640999999998,,3.65,0.2609455566408595,116.5755826012766,-3.6435900000000174,0.0,85.59513379888043,85.59513379888043
2026-03-17,FON,1,2026-03-17_FON_1,ALPARSLAN,6.0,5.965163445478406,Souple,Turf,3,4,131.17488999999998,,4.4,0.2609455566408595,113.9456097164029,5.1748899999999765,0.0,89.89574776920415,89.89574776920415
2026-03-17,FON,1,2026-03-17_FON_1,BID FOR CHESTER,7.0,5.965163445478406,Souple,Turf,3,5,127.86795999999998,,4.9,0.2609455566408595,112.19229445982043,1.8679599999999823,0.0,86.37920314238606,86.37920314238606
2026-03-17,FON,1,2026-03-17_FON_1,IMPITOYABLE,8.0,5.965163445478406,Souple,Turf,3,7,119.04947999999999,,5.9,0.2609455566408595,108.6856639466555,-6.950520000000012,0.0,77.81404494306176,77.81404494306176
2026-03-17,FON,1,2026-03-17_FON_1,PRADARO,9.0,5.965163445478406,Souple,Turf,3,11,123.45871999999999,,6.15,0.2609455566408595,107.80900631836425,-2.5412800000000146,0.0,80.26896223029507,80.26896223029507
2026-03-17,FON,1,2026-03-17_FON_1,ROYALWOOD,10.0,5.965163445478406,Souple,Turf,3,6,121.2541,,6.300000000000001,0.2609455566408595,107.28301174138952,-4.745900000000006,0.0,78.37136092212118,78.37136092212118
2026-03-17,FON,1,2026-03-17_FON_1,BEAU GARS,11.0,5.965163445478406,Souple,Turf,3,4,124.56102999999999,,9.3,0.2609455566408595,96.76312020189472,-1.4389700000000119,0.0,73.35881709093809,73.35881709093809
2026-03-17,FON,1,2026-03-17_FON_1,REGALIEN,12.0,5.965163445478406,Souple,Turf,3,7,128.97027,,9.55,0.2609455566408595,95.8864625736035,2.9702699999999993,0.0,75.81373437817143,75.81373437817143
2026-03-17,FON,1,2026-03-17_FON_1,GALLIUS,13.0,5.965163445478406,Souple,Turf,3,4,123.45871999999999,,12.55,0.2609455566408595,85.36657103410869,-2.5412800000000146,0.0,64.67291476423577,64.67291476423577
2026-03-17,FON,1,2026-03-17_FON_1,BONJOUR CA VA,14.0,5.965163445478406,Souple,Turf,3,4,123.45871999999999,,13.8,0.2609455566408595,80.98328289265251,-2.5412800000000146,0.0,61.62681174352104,61.62681174352104
