meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,corrected_time,deviation_seconds,deviation_lengths,deviation_lbs,winner_figure,lbs_behind,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-03-17,FON,3,2026-03-17_FON_3,IPSO FACTO,1.0000,6.9594,Souple,Turf,5,4,127.8680,88.6200,0.0000,88.0440,2.7616,0.1750,87.4025,-0.6416,-3.2079,-8.8589,108.8589,0.0000,108.8589,1.8680,110.7269,0.0000,110.7269,85.4079,85.4079,
2026-03-17,FON,3,2026-03-17_FON_3,MAKAROV,2.0000,6.9594,Souple,Turf,5,4,127.8680,,1.5000,88.0440,2.7616,0.1750,,,,,108.8589,4.1424,104.7165,1.8680,106.5844,0.0000,106.5844,82.4579,82.4579,
2026-03-17,FON,3,2026-03-17_FON_3,PENNSYLVANIA,3.0000,6.9594,Souple,Turf,5,4,124.5610,,1.6000,88.0440,2.7616,0.1750,,,,,108.8589,4.4186,104.4403,-1.4390,103.0013,0.0000,103.0013,79.9062,79.9062,
2026-03-17,FON,3,2026-03-17_FON_3,CALA ROSSA,4.0000,6.9594,Souple,Turf,5,4,124.5610,,4.1000,88.0440,2.7616,0.1750,,,,,108.8589,11.3227,97.5362,-1.4390,96.0972,0.0000,96.0972,74.9895,74.9895,
2026-03-17,FON,3,2026-03-17_FON_3,LE TOLIER,5.0000,6.9594,Souple,Turf,5,4,127.8680,,4.2000,88.0440,2.7616,0.1750,,,,,108.8589,11.5988,97.2601,1.8680,99.1280,0.0000,99.1280,77.1479,77.1479,
2026-03-17,FON,3,2026-03-17_FON_3,LIGHTNING RAID,6.0000,6.9594,Souple,Turf,5,4,123.4587,,5.9500,88.0440,2.7616,0.1750,,,,,108.8589,16.4317,92.4272,-2.5413,89.8859,0.0000,89.8859,70.5662,70.5662,
2026-03-17,FON,3,2026-03-17_FON_3,DANZICA GIRL,7.0000,6.9594,Souple,Turf,5,4,124.5610,,7.2000,88.0440,2.7616,0.1750,,,,,108.8589,19.8837,88.9752,-1.4390,87.5362,0.0000,87.5362,68.8928,68.8928,
2026-03-17,FON,3,2026-03-17_FON_3,MARSIHO,8.0000,6.9594,Souple,Turf,5,4,127.8680,,9.2000,88.0440,2.7616,0.1750,,,,,108.8589,25.4070,83.4519,1.8680,85.3199,0.0000,85.3199,67.3145,67.3145,
2026-03-17,FON,3,2026-03-17_FON_3,ZEPHYR SONG,9.0000,6.9594,Souple,Turf,5,4,124.5610,,13.7000,88.0440,2.7616,0.1750,,,,,108.8589,37.8343,71.0246,-1.4390,69.5856,0.0000,69.5856,56.1094,56.1094,
2026-03-17,FON,4,2026-03-17_FON_4,CASSIUS,1.0000,10.9361,Souple,Turf,5,6,125.6633,145.6400,0.0000,140.0666,1.7848,0.1750,143.7267,3.6601,18.3005,32.6623,67.3377,0.0000,67.3377,-0.3367,67.0011,0.0000,67.0011,54.2689,54.2689,
2026-03-17,FON,4,2026-03-17_FON_4,MASTER CATH,2.0000,10.9361,Souple,Turf,5,4,123.4587,,1.5000,140.0666,1.7848,0.1750,,,,,67.3377,2.6772,64.6605,-2.5413,62.1193,0.0000,62.1193,50.7923,50.7923,
2026-03-17,FON,4,2026-03-17_FON_4,MAGELLAN,3.0000,10.9361,Souple,Turf,5,6,123.4587,,2.0000,140.0666,1.7848,0.1750,,,,,67.3377,3.5696,63.7682,-2.5413,61.2269,0.0000,61.2269,50.1568,50.1568,
2026-03-17,FON,4,2026-03-17_FON_4,ZULU WARRIOR,4.0000,10.9361,Souple,Turf,5,6,123.4587,,2.7500,140.0666,1.7848,0.1750,,,,,67.3377,4.9081,62.4296,-2.5413,59.8883,0.0000,59.8883,49.2036,49.2036,
2026-03-17,FON,4,2026-03-17_FON_4,GALA,5.0000,10.9361,Souple,Turf,5,4,124.5610,,2.8500,140.0666,1.7848,0.1750,,,,,67.3377,5.0866,62.2511,-1.4390,60.8121,0.0000,60.8121,49.8615,49.8615,
2026-03-17,FON,4,2026-03-17_FON_4,CUNNING FOX,6.0000,10.9361,Souple,Turf,5,5,125.6633,,3.6000,140.0666,1.7848,0.1750,,,,,67.3377,6.4252,60.9125,-0.3367,60.5759,0.0000,60.5759,49.6932,49.6932,
2026-03-17,FON,4,2026-03-17_FON_4,ONE EYE JACK,7.0000,10.9361,Souple,Turf,5,4,123.4587,,4.3500,140.0666,1.7848,0.1750,,,,,67.3377,7.7638,59.5739,-2.5413,57.0327,0.0000,57.0327,47.1699,47.1699,
2026-03-17,FON,4,2026-03-17_FON_4,ALTIAMA,8.0000,10.9361,Souple,Turf,5,4,124.5610,,4.8500,140.0666,1.7848,0.1750,,,,,67.3377,8.6562,58.6815,-1.4390,57.2426,0.0000,57.2426,47.3194,47.3194,
2026-03-17,FON,4,2026-03-17_FON_4,NAKED MEMORIES,9.0000,10.9361,Souple,Turf,5,4,123.4587,,12.3500,140.0666,1.7848,0.1750,,,,,67.3377,22.0420,45.2957,-2.5413,42.7544,0.0000,42.7544,37.0018,37.0018,
2026-03-17,FON,5,2026-03-17_FON_5,AMERICAN GLORY,1.0000,8.9477,Souple,Turf,5,5,122.3564,112.0800,0.0000,113.8645,2.2577,0.1750,110.5146,-3.3499,-16.7494,-37.8153,137.8153,0.0000,137.8153,-3.6436,134.1717,0.0000,134.1717,102.1040,102.1040,
2026-03-17,FON,5,2026-03-17_FON_5,PRINCE DES VILLES,2.0000,8.9477,Souple,Turf,5,5,123.4587,,0.1500,113.8645,2.2577,0.1750,,,,,137.8153,0.3387,137.4766,-2.5413,134.9353,0.0000,134.9353,102.6478,102.6478,
2026-03-17,FON,5,2026-03-17_FON_5,MONONOF,3.0000,8.9477,Souple,Turf,5,6,123.4587,,0.2500,113.8645,2.2577,0.1750,,,,,137.8153,0.5644,137.2509,-2.5413,134.7096,0.0000,134.7096,102.4870,102.4870,
2026-03-17,FON,5,2026-03-17_FON_5,DALAKIR,4.0000,8.9477,Souple,Turf,5,4,123.4587,,2.2500,113.8645,2.2577,0.1750,,,,,137.8153,5.0798,132.7354,-2.5413,130.1942,0.0000,130.1942,99.2714,99.2714,
2026-03-17,FON,5,2026-03-17_FON_5,CALAS,5.0000,8.9477,Souple,Turf,5,6,123.4587,,2.5000,113.8645,2.2577,0.1750,,,,,137.8153,5.6443,132.1710,-2.5413,129.6297,0.0000,129.6297,98.8694,98.8694,
2026-03-17,FON,5,2026-03-17_FON_5,GERARD TER BORCH,6.0000,8.9477,Souple,Turf,5,4,130.0726,,3.5000,113.8645,2.2577,0.1750,,,,,137.8153,7.9020,129.9133,4.0726,133.9859,0.0000,133.9859,101.9716,101.9716,
2026-03-17,FON,5,2026-03-17_FON_5,LE ROI RENE,7.0000,8.9477,Souple,Turf,5,4,123.4587,,4.2500,113.8645,2.2577,0.1750,,,,,137.8153,9.5952,128.2200,-2.5413,125.6788,0.0000,125.6788,96.0558,96.0558,
2026-03-17,FON,5,2026-03-17_FON_5,L'HOTELLERIE,8.0000,8.9477,Souple,Turf,5,5,122.3564,,4.2800,113.8645,2.2577,0.1750,,,,,137.8153,9.6630,128.1523,-3.6436,124.5087,0.0000,124.5087,95.2225,95.2225,
2026-03-17,FON,5,2026-03-17_FON_5,EL PEQUENIO,9.0000,8.9477,Souple,Turf,5,4,123.4587,,5.7800,113.8645,2.2577,0.1750,,,,,137.8153,13.0495,124.7658,-2.5413,122.2245,0.0000,122.2245,93.5958,93.5958,
2026-03-17,FON,5,2026-03-17_FON_5,STORMY DONALD,10.0000,8.9477,Souple,Turf,5,4,125.6633,,8.7800,113.8645,2.2577,0.1750,,,,,137.8153,19.8226,117.9926,-0.3367,117.6560,0.0000,117.6560,90.3424,90.3424,
2026-03-17,FON,5,2026-03-17_FON_5,ROUGEGARDE,11.0000,8.9477,Souple,Turf,5,9,127.8680,,11.2800,113.8645,2.2577,0.1750,,,,,137.8153,25.4669,112.3484,1.8680,114.2163,0.0000,114.2163,87.8929,87.8929,
