courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Khafar (IRE),0.0000,7.0000,Good,Turf,,3,129,90.1300,,96.0791,2.9405,0.0479,,0.0000,4.0000,5,,,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Halon Bay (IRE),1.0000,7.0000,Good,Turf,,3,134,90.1300,,96.0791,2.9405,0.0479,194.6715,8.0000,4.0000,0,198.6715,75.7000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Valentino Eclipse (IRE),2.0000,7.0000,Good,Turf,,3,134,90.1300,0.1500,96.0791,2.9405,0.0479,194.2304,8.0000,4.0000,0,198.2304,75.9000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Goomah (IRE),3.0000,7.0000,Good,Turf,,3,129,90.1300,0.6500,96.0791,2.9405,0.0479,187.7602,3.0000,4.0000,5,191.7602,71.6000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Caislean Ni Cuan (IRE),4.0000,7.0000,Good,Turf,,3,129,90.1300,3.1500,96.0791,2.9405,0.0479,180.4089,3.0000,4.0000,5,184.4089,61.4000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Cosmic Funk (IRE),5.0000,7.0000,Good,Turf,,3,134,90.1300,4.9000,96.0791,2.9405,0.0479,180.2629,8.0000,4.0000,0,184.2629,61.2000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Carmel Valley (IRE),6.0000,7.0000,Good,Turf,,3,129,90.1300,7.4000,96.0791,2.9405,0.0479,167.9116,3.0000,4.0000,5,171.9116,50.8000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Gilts (IRE),7.0000,7.0000,Good,Turf,,3,129,90.1300,8.6500,96.0791,2.9405,0.0479,164.2360,3.0000,4.0000,5,168.2360,47.9000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Connecteo (IRE),8.0000,7.0000,Good,Turf,,3,134,90.1300,13.1500,96.0791,2.9405,0.0479,156.0036,8.0000,4.0000,0,160.0036,37.9000,high
LEOPARDSTOWN,1,2026-10-05_LEOPARDSTOWN_1,Threebiggulps,9.0000,7.0000,Good,Turf,,3,134,90.1300,19.1500,96.0791,2.9405,0.0479,138.3604,8.0000,4.0000,0,142.3604,18.4000,high
LEOPARDSTOWN,2,2026-10-05_LEOPARDSTOWN_2,Cannes (IRE),1.0000,12.0000,Good,Turf,,3,134,157.4400,,167.7027,1.7686,0.0479,197.9689,8.0000,4.0000,0,201.9689,79.2000,high
LEOPARDSTOWN,2,2026-10-05_LEOPARDSTOWN_2,Almazann (IRE),2.0000,12.0000,Good,Turf,,3,134,157.4400,2.2500,167.7027,1.7686,0.0479,193.9895,8.0000,4.0000,0,197.9895,75.7000,high
LEOPARDSTOWN,2,2026-10-05_LEOPARDSTOWN_2,Count Bezukhov (IRE),3.0000,12.0000,Good,Turf,,3,134,157.4400,3.7500,167.7027,1.7686,0.0479,191.3365,8.0000,4.0000,0,195.3365,72.8000,high
LEOPARDSTOWN,2,2026-10-05_LEOPARDSTOWN_2,Antigua (IRE),4.0000,12.0000,Good,Turf,,3,134,157.4400,3.8000,167.7027,1.7686,0.0479,191.2481,8.0000,4.0000,0,195.2481,73.6000,high
