courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Quick Turn (FR),1.0000,8.6455,Standard,All Weather,6,3,135,111.3200,,121.3851,-0.4102,189.7008,9.0000,8.0318,0,197.7326,45.7000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Worlington,2.0000,8.6455,Standard,All Weather,6,3,134,111.3200,2.0000,121.3851,-0.4102,183.3012,8.0000,8.0318,0,191.3330,39.1000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Lady Of Clover (IRE),3.0000,8.6455,Standard,All Weather,6,3,130,111.3200,2.5000,121.3851,-0.4102,177.9513,4.0000,8.0318,5,185.9831,36.6000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Alices Influence,4.0000,8.6455,Standard,All Weather,6,3,126,111.3200,4.2500,121.3851,-0.4102,169.2266,0.0000,8.0318,5,177.2584,28.9000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Laser Luck,5.0000,8.6455,Standard,All Weather,6,3,134,111.3200,6.2500,121.3851,-0.4102,171.8270,8.0000,8.0318,5,179.8588,31.3000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Lapidarist,6.0000,8.6455,Standard,All Weather,6,3,128,111.3200,6.3500,121.3851,-0.4102,165.5570,2.0000,8.0318,5,173.5888,24.2000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Musical Soldier (IRE),7.0000,8.6455,Standard,All Weather,6,3,132,111.3200,6.5000,121.3851,-0.4102,169.1520,6.0000,8.0318,0,177.1839,28.3000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Karmacy (IRE),8.0000,8.6455,Standard,All Weather,6,3,135,111.3200,7.2500,121.3851,-0.4102,170.1272,9.0000,8.0318,5,178.1590,29.8000,high
WOLVERHAMPTON,1,2026-03-24_WOLVERHAMPTON_1,Lady Birgma (IRE),9.0000,8.6455,Standard,All Weather,6,3,126,111.3200,39.2500,121.3851,-0.4102,96.2890,0.0000,8.0318,5,104.3208,-57.6000,low
WOLVERHAMPTON,2,2026-03-24_WOLVERHAMPTON_2,Lexington Express (IRE),1.0000,8.6455,Standard,All Weather,6,3,135,110.3300,,121.3851,-0.4102,201.9568,9.0000,8.0318,5,209.9886,54.8000,high
WOLVERHAMPTON,2,2026-03-24_WOLVERHAMPTON_2,Nautical Sky,2.0000,8.6455,Standard,All Weather,6,3,132,110.3300,6.0000,121.3851,-0.4102,182.6125,6.0000,8.0318,5,190.6443,38.5000,high
WOLVERHAMPTON,2,2026-03-24_WOLVERHAMPTON_2,Sorted (IRE),3.0000,8.6455,Standard,All Weather,6,3,129,110.3300,6.0300,121.3851,-0.4102,179.5308,3.0000,8.0318,0,187.5626,36.7000,high
WOLVERHAMPTON,2,2026-03-24_WOLVERHAMPTON_2,Regal And Real,4.0000,8.6455,Standard,All Weather,6,3,126,110.3300,7.2800,121.3851,-0.4102,173.1258,0.0000,8.0318,0,181.1576,31.3000,high
WOLVERHAMPTON,2,2026-03-24_WOLVERHAMPTON_2,Buckland Belle,5.0000,8.6455,Standard,All Weather,6,3,133,110.3300,10.2800,121.3851,-0.4102,171.9536,7.0000,8.0318,5,179.9855,30.7000,high
