courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
DONCASTER,1,2026-01-08_DONCASTER_1,Sakura Impact (IRE),0.0000,6.0091,Good To Firm,Turf,4.0000,3,128,73.7400,,77.3167,3.5015,0.0744,,0.0000,13.0000,5,,,high
DONCASTER,1,2026-01-08_DONCASTER_1,Triple P,0.0000,6.0091,Good To Firm,Turf,4.0000,3,133,73.7400,,77.3167,3.5015,0.0744,,0.0000,13.0000,0,,,high
DONCASTER,1,2026-01-08_DONCASTER_1,Kohana Nation (IRE),1.0000,6.0091,Good To Firm,Turf,4.0000,3,133,73.7400,,77.3167,3.5015,0.0744,174.1901,7.0000,13.0000,0,187.1901,64.3000,high
DONCASTER,1,2026-01-08_DONCASTER_1,Brash (IRE),2.0000,6.0091,Good To Firm,Turf,4.0000,3,133,73.7400,3.7500,77.3167,3.5015,0.0744,161.0593,7.0000,13.0000,0,174.0593,52.9000,high
DONCASTER,1,2026-01-08_DONCASTER_1,Stoneacre Joe,3.0000,6.0091,Good To Firm,Turf,4.0000,3,133,73.7400,10.2500,77.3167,3.5015,0.0744,138.2993,7.0000,13.0000,0,151.2993,23.4000,high
DONCASTER,1,2026-01-08_DONCASTER_1,Spruces Due,4.0000,6.0091,Good To Firm,Turf,4.0000,4,132,73.7400,10.4000,77.3167,3.5015,0.0744,136.7741,6.0000,0.0000,5,136.7741,16.8000,high
DONCASTER,2,2026-01-08_DONCASTER_2,Weleyff (IRE),1.0000,7.0273,Good To Firm,Turf,4.0000,2,134,85.3900,,91.9433,3.0932,0.0744,209.6413,8.0000,0.0000,0,209.6413,73.6000,high
DONCASTER,2,2026-01-08_DONCASTER_2,Lincoln Warrior (IRE),2.0000,7.0273,Good To Firm,Turf,4.0000,2,128,85.3900,1.2500,91.9433,3.0932,0.0744,199.7748,2.0000,0.0000,0,199.7748,63.1000,high
DONCASTER,2,2026-01-08_DONCASTER_2,Eighth Immortal (IRE),3.0000,7.0273,Good To Firm,Turf,4.0000,2,131,85.3900,1.4000,91.9433,3.0932,0.0744,202.3108,5.0000,0.0000,0,202.3108,65.6000,high
DONCASTER,2,2026-01-08_DONCASTER_2,Encounter (IRE),4.0000,7.0273,Good To Firm,Turf,4.0000,2,135,85.3900,1.4500,91.9433,3.0932,0.0744,206.1561,9.0000,0.0000,0,206.1561,67.6000,high
