std_key,median_time,mean_time,n_races,distance,courseName,surface,divergence,provisional,cross_course_outlier,course_lpl
AGE_1850_Turf,116.15581387397597,111.08257890944616,49,1850,AGE,Turf,0.04367611740927628,True,False,2.167368760890715
AGE_2500_Turf,162.33652212699457,162.7193468380227,40,2500,AGE,Turf,0.002358216783335055,False,False,1.6056516500923865
AIX_1800_Turf,109.61809409829581,109.74626674993085,58,1800,AIX,Turf,0.0011692654637847145,False,False,2.2528935612739276
AIX_2000_Turf,117.94169067865786,117.84362367455796,64,2000,AIX,Turf,0.0008314871826544767,False,False,2.1416132779909978
AIX_2500_Turf,159.62537381690925,159.38216879216756,73,2500,AIX,Turf,0.0015235987796065604,False,False,1.6329227515071703
AMI_1650_Turf,103.1574673952394,102.76844377023161,125,1650,AMI,Turf,0.0037711630076887053,False,False,2.411316063395261
AMI_2200_Turf,144.61446152539827,144.7393886508137,116,2200,AMI,Turf,0.0008638632962271117,False,False,1.7792659488311795
AMI_2900_Turf,196.08273221045985,195.46887294341028,53,2900,AMI,Turf,0.003130613594218528,False,False,1.3627095474956343
ANG_1350_Turf,81.16896489100702,80.78462720080927,31,1350,ANG,Turf,0.0047350325424728385,False,False,3.016158613745112
ANG_1600_Turf,97.4317057680483,96.31593433370182,88,1600,ANG,Turf,0.011451831060032515,False,False,2.5238882269161644
ANG_2000_Turf,123.5612353766584,122.81978936395392,23,2000,ANG,Turf,0.006000636125434455,False,False,2.0442130577292366
ANG_2100_Turf,132.06004739852196,130.5959706232782,66,2100,ANG,Turf,0.011086447446331558,False,False,1.9172206537446594
ANG_2300_Turf,145.09380706808602,144.65550639579936,80,2300,ANG,Turf,0.0030208089589997687,False,False,1.7581495990310252
ANG_3000_Turf,197.82079803563812,199.3298283702909,69,3000,ANG,Turf,0.0076282693712565065,False,False,1.3204671880560686
ARG_1200_Turf,76.12695640317688,82.62398879071446,25,1200,ARG,Turf,0.0853447017260033,True,False,3.1155543091056117
ARG_1900_Turf,122.38610208496667,122.76236069922054,22,1900,ARG,Turf,0.003074357364471441,False,False,2.0744094543211613
ARG_2100_Turf,133.415330212611,133.23859387091863,66,2100,ARG,Turf,0.0013247078983405734,False,False,1.8977448094118086
ARG_2500_Turf,168.13058866379077,169.32856461292815,67,2500,ARG,Turf,0.007125270652165231,False,True,1.5503181586112167
ARG_2800_Turf,189.37206938147884,185.3521884898715,33,2800,ARG,Turf,0.02122742231595683,False,False,1.3862071704844832
BOR_1200_Turf,67.73048771316687,67.71094074052152,104,1200,BOR,Turf,0.00028859931923307173,False,False,3.5017859027597877
BOR_1550_Turf,92.33016029189533,91.68269435438442,27,1550,BOR,Turf,0.007012507456544895,False,False,2.595716129032258
BOR_1600_Turf,101.00633084358621,101.06476653253488,79,1600,BOR,Turf,0.0005785349142040774,False,False,2.4345675470296686
BOR_1700_Turf,103.43576343044475,103.48911871786675,111,1700,BOR,Turf,0.0005158301698799978,False,False,2.3628580870217566
BOR_1800_Turf,108.89880834850021,108.96889245042668,89,1800,BOR,Turf,0.0006435708800612771,False,False,2.267774111933809
BOR_2000_Turf,121.16040067822101,120.70792796047206,235,2000,BOR,Turf,0.0037344934088706775,False,False,2.0847198372753803
BOR_2100_Turf,126.0464611787163,125.93777215009177,80,2100,BOR,Turf,0.0008622933766495763,False,False,2.008689875457585
BOR_2450_Turf,151.86046055480438,152.66677111058877,26,2450,BOR,Turf,0.005309548995430618,False,False,1.6736492736629471
BOR_2600_Turf,162.40083312233028,162.64924719351208,136,2600,BOR,Turf,0.0015296354483272745,False,False,1.6139074157588489
BOU_1200_Turf,74.21691793302105,74.01946478522915,22,1200,BOU,Turf,0.0026604870330252865,False,False,3.1957358735249524
BOU_1400_Turf,88.52137060515929,89.78317401329035,87,1400,BOU,Turf,0.014254223579063252,False,False,2.725643355326372
BOU_1600_Turf,98.63903305645248,99.47397157101851,206,1600,BOU,Turf,0.008464585354239905,False,False,2.4929962054230708
BOU_1900_Turf,125.14558485239178,126.57689150884997,267,1900,BOU,Turf,0.011437132665498388,False,False,2.0286683508812375
BOU_2400_Turf,157.71302891467155,156.97725392291235,143,2400,BOU,Turf,0.004665277160818978,False,False,1.643365035877111
BRA_1350_Turf,80.44394782506986,79.65884442683286,29,1350,BRA,Turf,0.009759632880577324,False,False,3.0433423426353685
BRA_1400_Turf,82.37819921397988,82.3547325160753,39,1400,BRA,Turf,0.0002848653907039866,False,False,2.928902159752358
BRA_1950_Turf,122.56378940736101,121.90329407081832,108,1950,BRA,Turf,0.005388992456388809,False,False,2.0606319021114907
