courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
ASCOT,1,2026-07-24_ASCOT_1,Sorrengail,1.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,,78.7482,3.5001,0.0253,186.2552,2.0000,15.0000,3,201.2552,88.0000,high
ASCOT,1,2026-07-24_ASCOT_1,Speed of Sound (IRE),2.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,1.5000,78.7482,3.5001,0.0253,181.0051,2.0000,15.0000,3,196.0051,82.4000,high
ASCOT,1,2026-07-24_ASCOT_1,Sweetwonderfulyou (IRE),3.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,1.6500,78.7482,3.5001,0.0253,180.4801,2.0000,15.0000,3,195.4801,81.5000,high
ASCOT,1,2026-07-24_ASCOT_1,Blue Flight,4.0000,6.0000,Good To Firm,Turf,3.0000,2,135,73.7600,2.1500,78.7482,3.5001,0.0253,185.7300,9.0000,15.0000,3,200.7300,84.3000,high
ASCOT,1,2026-07-24_ASCOT_1,Cut And Sew,5.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,4.4000,78.7482,3.5001,0.0253,170.8548,2.0000,15.0000,3,185.8548,73.1000,high
ASCOT,1,2026-07-24_ASCOT_1,Parvenue Star (IRE),6.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,4.9000,78.7482,3.5001,0.0253,169.1048,2.0000,15.0000,3,184.1048,71.3000,high
ASCOT,1,2026-07-24_ASCOT_1,Ash Tree (IRE),7.0000,6.0000,Good To Firm,Turf,3.0000,2,135,73.7600,8.9000,78.7482,3.5001,0.0253,162.1045,9.0000,15.0000,3,177.1045,64.0000,high
ASCOT,1,2026-07-24_ASCOT_1,Perfect Hope,8.0000,6.0000,Good To Firm,Turf,3.0000,2,128,73.7600,8.9300,78.7482,3.5001,0.0253,154.9995,2.0000,15.0000,3,169.9995,57.7000,high
ASCOT,2,2026-07-24_ASCOT_2,Alfred Wallace,1.0000,7.0000,Good To Firm,Turf,1.0000,2,131,87.3900,,93.4715,3.0201,0.0253,193.3617,5.0000,16.0000,0,209.3617,102.9000,high
ASCOT,2,2026-07-24_ASCOT_2,Silver Dominion (IRE),2.0000,7.0000,Good To Firm,Turf,1.0000,2,131,87.3900,1.0000,93.4715,3.0201,0.0253,190.3415,5.0000,16.0000,0,206.3415,99.3000,high
ASCOT,2,2026-07-24_ASCOT_2,Dandyman Dan (IRE),3.0000,7.0000,Good To Firm,Turf,1.0000,2,131,87.3900,2.7500,93.4715,3.0201,0.0253,185.0563,5.0000,16.0000,0,201.0563,94.9000,high
ASCOT,2,2026-07-24_ASCOT_2,Kach Above,4.0000,7.0000,Good To Firm,Turf,1.0000,2,131,87.3900,3.2500,93.4715,3.0201,0.0253,183.5462,5.0000,16.0000,0,199.5462,91.9000,high
ASCOT,2,2026-07-24_ASCOT_2,Firehorse (IRE),5.0000,7.0000,Good To Firm,Turf,1.0000,2,131,87.3900,3.3500,93.4715,3.0201,0.0253,183.2442,5.0000,16.0000,0,199.2442,91.2000,high
ASCOT,2,2026-07-24_ASCOT_2,Love Is (IRE),6.0000,7.0000,Good To Firm,Turf,1.0000,2,126,87.3900,5.1000,93.4715,3.0201,0.0253,172.9589,0.0000,16.0000,3,188.9589,82.5000,high
