racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","1st",,"Adrienne (IRE)","0","Walsh, T M","3","OCallaghan, Shane","5","142","1.5","(JFav)","0","4 mins 13.09s","253.09",,"0","16","1","National Hunt","2.74243928","1.32","3","3","3520","0","Maiden Hurdle","in touch, 6th before 5th, headway before 2 out, travelled well in 2nd before last, led closing stages, kept on well, comfortably","10","None","Right Handed",,"21","14","Kodi Bear (IRE)","Slight Undulations","5310","Filly","Lafayette Hill (IRE)","War Command (USA)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","2nd","4.5","Ill Be Handy (IRE)","0","Smith, Matthew J","3","Smith, Mr James","5","149","8",,"0","4 mins 13.09s","253.09","4.5","0","16","2","National Hunt","12.81058227","2.74812575","3","3","3520","0","Maiden Hurdle","tracked leader, 3rd after 4th, progress in 2nd after 5th, closed before 4 out, led narrowly 3 out, increased lead before 2 out, reduced advantage before last, headed closing stages, no chance with winner","5","None","Right Handed",,"23","12","El Kabeir (USA)","Slight Undulations","1770","Gelding","Alsalwa (IRE)","Nayef (USA)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","3rd","3.75","Simple Things (IRE)","0","Dempsey, J P","3","Torrens, Simon","0","147","16",,"0","4 mins 13.09s","253.09","8.25","0","16","3","National Hunt","25","4.98309341","3","3","3520","0","Maiden Hurdle","rear of mid-division, progress in 7th before 5th, headway after 4 out, improved to 4th approaching straight, 2nd 2 out, dropped to 3rd before last, no impression run-in","14","None","Right Handed",,"None","0","Getaway (GER)","Slight Undulations","884","Filly","Wink Wink (IRE)","Galileo (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","4th","1.25","Searcog (IRE)","0","Magee, Patrick","3","Finegan, Mr E","7","140","16",,"0","4 mins 13.09s","253.09","9.5","0","16","4","National Hunt","28.18305962","4.75249995","3","3","3520","0","Maiden Hurdle","towards rear, progress in 9th before 5th, headway before 2 out, 5th before last, improved to 4th run-in, soon kept on one pace","12","None","Right Handed",,"27","11","Inns Of Court (IRE)","Slight Undulations","442","Filly","Good Speech (IRE)","Haatef (USA)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","5th","2.75","Whats New (IRE)","0","Slattery, Andrew","3","Quirke, Mr C M","0","154","1.5","(JFav)","0","4 mins 13.09s","253.09","12.25","0","16","5","National Hunt","2.7317548","1.31747756","3","3","3520","0","Maiden Hurdle","prominent, 4th after 4th, took closer order after 4 out, 5th approaching straight, progress after 2 out, no impression in 4th last where not fluent, dropped to 5th run-in, no extra","9","None","Right Handed",,"10","17","Soldiers Call","Slight Undulations","265","Gelding","Heho","Dansili","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","6th","11","Pebble Island","0","McConnell, John C","3","Kidd, D A","7","147","33",,"0","4 mins 13.09s","253.09","23.25","0","16","6","National Hunt","70","13.37605849","3","3","3520","0","Maiden Hurdle","rear of mid-division, 8th before 5th, headway after 4 out, improved to 3rd approaching straight, lost place and weakened before last","7","None","Right Handed"," TT","63","7","Cracksman","Slight Undulations","177","Gelding","Dancing Sands (IRE)","Dubawi (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","7th","14","Jr Mahon (IRE)","0","Donoghue, Ian","3","Ewing, Sam","0","154","8",,"0","4 mins 13.09s","253.09","37.25","0","16","7","National Hunt","17.5","3.35","3","3","3520","0","Maiden Hurdle","mid-division, dropped to 13th before 5th, headway before 2 out, weakened after 2 out","6","None","Right Handed",,"10","11","Wootton Bassett","Slight Undulations","0","Gelding","Rythmique (IRE)","Casamento (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","8th","1.25","Shakita (IRE)","0","Mullins, Thomas","3","Mullins, D E","0","147","66",,"0","4 mins 13.09s","253.09","38.5","0","16","8","National Hunt","180","24.57284257","3","3","3520","0","Maiden Hurdle","tracked leader, a little keen, 2nd after 4th, 3rd after 5th, lost place after 4 out, weakened before 2 out","13","None","Right Handed",,"26","5","Coulsty (IRE)","Slight Undulations","0","Filly","La Chita Bonita (IRE)","Verglas (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","9th","6.5","Ahellofaman (IRE)","0","Hanlon, John Joseph","3","Hanlon, Mr P","7","147","80",,"0","4 mins 13.09s","253.09","45","0","16","9","National Hunt","240","35.11231322","3","3","3520","0","Maiden Hurdle","rear, good headway in 5th after 4th, closed in 3rd after 4 out, 2nd after 3 out, lost place and weakened quickly before 2 out","15","None","Right Handed","Hood","28","1","Valirann (FR)","Slight Undulations",,"Gelding","Irish Invasion","Fair Mix (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","10th","3.25","Houndsworth (IRE)","0","McNiff, Mark Michael","3","Enright, P T","0","154","66",,"0","4 mins 13.09s","253.09","48.25","0","16","10","National Hunt","272.89113816","25.16185297","3","3","3520","0","Maiden Hurdle","towards rear, 14th before 5th, no impression, no extra before 2 out where slight mistake","4","None","Right Handed",,"53","7","Kameko (USA)","Slight Undulations",,"Gelding","Melodic Motion (IRE)","Nathaniel (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","11th","4.75","Folk Warrior (IRE)","0","Nash, J A","3","Gilligan, D J","0","154","66",,"0","4 mins 13.09s","253.09","53","0","16","11","National Hunt","190","23","3","3","3520","0","Maiden Hurdle","in touch, dropped to 11th before 5th, no impression 2 out where mistake, weakened","3","None","Right Handed",,"38","3","Shaman (IRE)","Slight Undulations",,"Gelding","Grand Ole Opry (IRE)","Helmet (AUS)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","12th","19","Expert Analysis (IRE)","0","Kilmartin, Dermot","3","Healy, Mr Kevin","7","147","50",,"0","4 mins 13.09s","253.09","72","0","16","12","National Hunt","145.13647764","17.5","3","3","3520","0","Maiden Hurdle","rear of mid-division, 12th before 5th, no impression, weakened before 2 out","2","None","Right Handed",,"10","10","Expert Eye","Slight Undulations",,"Gelding","Aqualis","Sea The Stars (IRE)","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","F",,"Good Thoughts (IRE)","0","Dempsey, J P","3","Kelly, Aidan","3","144","28",,"0","4 mins 13.09s","253.09",,"0","16","F","National Hunt","44","9.6","3","3","3520","0","Maiden Hurdle","rear, progress in 10th before 5th, 11th 3 out where mistake and fell","11","None","Right Handed",,"None","0","Order Of St George (IRE)","Slight Undulations",,"Filly","Castlecrossings (IRE)","Broken Hearted","0",
"2025-11-04","1.15.","Fairyhouse","WTW Willis 3-Y-O Maiden Hurdle","3yo","Irish",,"2m ","5310","Soft To Heavy","14","PU",,"Beat The Devil (IRE)","0","Magee, Patrick","3","Stone-Walsh, C","0","154","80",,"0","4 mins 13.09s","253.09",,"0","16","PU","National Hunt","272.25160158","38","3","3","3520","0","Maiden Hurdle","led, increased advantage after 2nd, not fluent 3rd and 4th, reduced lead and wandered before 4 out where mistake, headed 3 out, soon lost place, weakened before 2 out, pulled up before last","1","None","Right Handed"," TT","33","5","Estidhkaar (IRE)","Slight Undulations",,"Gelding","Xerxes (IRE)","Key Of Luck (USA)","0",
