racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","1st",,"Hellfire Princess","0","Lee, Miss Kerry","9","Macey, Benjamin","0","168","4",,"100","5 mins 39.03s","339.03",,"88.5","20.5","1","National Hunt","5.4","2.93427871","2","2","4400","86","Handicap Hurdle","held up in rear but in touch, steady headway from bend before 3 out, travelling well and pressed leader 2 out, led and edged left before last, not fluent last, ran on well, won going away","1","None","Left Handed","CkPc","28","15","Dunaden (FR)","Flat","3248","Mare","Ryde Back","Bob Back (USA)","100",
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","2nd","1.25","Neeps And Tatties","0","Phillips, R T","7","Lambert, Finn","0","152","10",,"84","5 mins 39.03s","339.03","1.25","88.5","20.5","2","National Hunt","12.5","4.81739351","2","2","4400","86","Handicap Hurdle","led, faced challenge 2 out, headed before last, chased winner run-in, no extra towards finish","5","None","Left Handed","Hood","9","6","Black Sam Bellamy (IRE)","Flat","1494","Mare","Supreme Gem (IRE)","Supreme Leader","100",
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","3rd","2.75","Queen Of Steel","0","OBrien, Fergal","6","OBrien, Miss Fern","3","158","2.5","(JFav)","93","5 mins 39.03s","339.03","4","88.5","20.5","3","National Hunt","3.95","2.06","2","2","4400","86","Handicap Hurdle","towards rear, mistake 5th, pushed along 3 out, ridden after 2 out, disputed third last, chased leading pair run-in, no extra towards finish","3","None","Left Handed","CkPc","26","36","Nathaniel (IRE)","Flat","747","Mare","Canyara (GER)","Dansili","100",
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","4th","0.75","Man Maid","0","Dickin, Harriet","5","Pritchard, Mr Callum","0","167","9",,"99","5 mins 39.03s","339.03","4.75","88.5","20.5","4","National Hunt","11","5","2","2","4400","86","Handicap Hurdle","midfield, dropped to rear after 1st, pushed along and some headway after 3 out, ridden after 2 out, briefly disputed third approaching last, weakened run-in","2","None","Left Handed",,"19","4","Frontiersman","Flat","374","Mare","Maid Of Milan (IRE)","Milan","100",
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","5th","6","Rest Is The Best (IRE)","0","Dickin, Harriet","5","Dodd, Murray","3","149","2.5","(JFav)","84","5 mins 39.03s","339.03","10.75","88.5","20.5","5","National Hunt","3.92261201","2.16","2","2","4400","86","Handicap Hurdle","midfield, not fluent 6th and soon pushed along, raced wide from 4 out, outpaced 3 out, ridden before 2 out, weakened after last","4","None","Left Handed","CkPc","23","5","Order Of St George (IRE)","Flat","186","Mare","Erkindale Miss (IRE)","Supreme Leader","100",
"2026-03-16","2.30.","Ffos Las","Plan A Conditional Jockeys Mares Handicap Hurdle","4yo+","Class 5",,"2m4.5f ","3248","Soft","6","6th","11","Half Pint Daisy (IRE)","0","Boultbee-brooks, Clive","7","Fox, Ned","0","142","5.5",,"74","5 mins 39.03s","339.03","21.75","88.5","20.5","6","National Hunt","7.4","3.45","2","2","4400","86","Handicap Hurdle","wore hood to start, soon raced in second, pushed along when lost position after 3 out, outpaced before 2 out, soon weakened","6","None","Left Handed",,"23","5","Soldier Of Fortune (IRE)","Flat","0","Mare","Passlands (IRE)","Kings Theatre (IRE)","100",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","1st",,"Boston Joe (IRE)","0","Curtis, Miss Rebecca","10","Jones, Ben R","0","167","3",,"95","5 mins 23.42s","323.42",,"91","19.5","1","National Hunt","4.8","2.49220913","2","2","4263","62","Handicap Chase","held up in rear but in touch, not fluent 5th, rapid headway to disputed lead 4 out, led 3 out, asserted 2 out, mistake last and soon reduced lead, rallied and ran on well when faced challenge run-in, all out to hold on (second and fourth fences in back straight omitted)","2","None","Left Handed",,"48","27","Sageburg (IRE)","Flat","3248","Gelding","Supreme Millie (IRE)","Milan","96",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","2nd","0.75","El Rojo Grande (IRE)","0","Price, Katy","9","Quinlan, S M","3","157","2.25","(Fav)","88","5 mins 23.42s","323.42","0.75","91","19.5","2","National Hunt","3.53066803","2","2","2","4263","62","Handicap Chase","disputed lead to 1st, soon raced in close second, disputed lead 4 out, ridden to chase winner from 2 out, every chance after last, stayed on but no extra towards finish","4","None","Left Handed",,"24","17","Ocovango","Flat","1494","Gelding","Matt Wood (IRE)","Woodborough (USA)","96",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","3rd","2.5","Benignitas (IRE)","0","Treacy, Gordon","9","Corcoran, Mr Rian","7","159","8.5",,"94","5 mins 23.42s","323.42","3.25","91","19.5","3","National Hunt","11","4","2","2","4263","62","Handicap Chase","midfield, mistake 4th, pushed along 8th, outpaced after 4 out, rallied after 2 out, chased leaders after last, weakened towards finish","3","None","Left Handed",,"33","14","Fracas (IRE)","Flat","747","Mare","Saintly Hertfield (USA)","Saint Ballado (CAN)","96",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","4th","2.25","Henry Box Brown (IRE)","0","Williams, Mrs C","9","Collier, Ellis","5","151","7",,"84","5 mins 23.42s","323.42","5.5","91","19.5","4","National Hunt","10","3.75","2","2","4263","62","Handicap Chase","towards rear but in touch, pushed along before 3 out, dropped to 3 out, ridden and modest headway before last, weakened towards finish","5","None","Left Handed",,"92","34","Getaway (GER)","Flat","374","Gelding","Lough Coyne (IRE)","Bob Back (USA)","96",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","5th","15","Ferando (IRE)","0","Murphy, B T","6","Pritchard, Mr Callum","3","146","3.33",,"77","5 mins 23.42s","323.42","20.5","91","19.5","5","National Hunt","4.4","2.86","2","2","4263","62","Handicap Chase","disputed lead to 1st, soon raced led, not fluent 2nd, joined 4 out, headed before 3 out, ridden before 2 out, weakened quickly before last","7","None","Left Handed"," TT","193","4","Westerner","Flat","186","Gelding","At The Top (FR)","Network (GER)","96",
"2026-03-16","3.00.","Ffos Las","Good Luck Barry Murphy Handicap Chase","5yo+","Class 5",,"2m3.5f ","3248","Soft","6","F",,"Walkinthewoods (IRE)","0","Williams, Mrs C","9","Radford, Mr Osian","10","158","9",,"96","5 mins 23.42s","323.42",,"91","19.5","F","National Hunt","12","4.1","2","2","4263","62","Handicap Chase","midfield, outpaced and dropped to rear when fell 4 out","1","None","Left Handed",,"19","38","Walk In The Park (IRE)","Flat",,"Gelding","Mercy Mission","Karinga Bay","96",
"2026-03-16","3.30.","Ffos Las","Celtic Subaru Novices Hurdle (GBB Race)","4yo+","Class 4",,"2m4.5f ","5446","Soft","4","1st",,"Lon Chaney (IRE)","0","Murphy, Olly","6","Bowen, Sean P","0","166","0.83","(Fav)","126","5 mins 23.35s","323.35",,"0","20.5","1","National Hunt","1.94506751","1.24","1","2","4400","86","Novices Hurdle","wore hood to start, made all, steadily asserted from 3 out, not fluent but well clear 2 out, well in command last, pushed out, readily","1","None","Left Handed",,"30","4","Walk In The Park (IRE)","Flat","5446","Gelding","Oscar Ladensa (IRE)","Oscar (IRE)","126",
"2026-03-16","3.30.","Ffos Las","Celtic Subaru Novices Hurdle (GBB Race)","4yo+","Class 4",,"2m4.5f ","5446","Soft","4","2nd","7.5","Whiskey Yankee","0","Thomas, Sam","5","Johnston, Dylan","0","166","1.25",,"0","5 mins 23.35s","323.35","7.5","0","20.5","2","National Hunt","2.59665634","1.25944152","1","2","4400","86","Novices Hurdle","raced in close second, not fluent 6th, pushed along after 3 out, outpaced by winner after 2 out, kept on but no impression after last","2","None","Left Handed"," TT","30","3","Hunters Light (IRE)","Flat","2509","Gelding","Charbelle (FR)","Poliglote","126",
"2026-03-16","3.30.","Ffos Las","Celtic Subaru Novices Hurdle (GBB Race)","4yo+","Class 4",,"2m4.5f ","5446","Soft","4","3rd","27","Soldier For Glory (IRE)","0","Curtis, Miss Rebecca","6","Jones, Ben R","0","159","8.5",,"0","5 mins 23.35s","323.35","34.5","0","20.5","3","National Hunt","12.30660337","2.94095464","1","2","4400","86","Novices Hurdle","raced in third, lost ground on leading pair after 4th, struggling 4 out, tailed off after 3 out","4","None","Left Handed",,"24","1","Soldier Of Fortune (IRE)","Flat","1254","Gelding","Fruits De Mer (IRE)","Presenting","126",
"2026-03-16","3.30.","Ffos Las","Celtic Subaru Novices Hurdle (GBB Race)","4yo+","Class 4",,"2m4.5f ","5446","Soft","4","4th","99","Makinbecon","0","Murphy, B T","6","Fenelon, S","5","154","150",,"0","5 mins 23.35s","323.35","133.5","0","20.5","4","National Hunt","290","32.04562671","1","2","4400","86","Novices Hurdle","held in fourth, three lengths detached after 2nd, tailed off after 4 out","3","None","Left Handed",,"15","2","Yeats (IRE)","Flat","628","Gelding","Dedrunknmunky (IRE)","Rashar (USA)","126",
"2026-03-16","4.00.","Ffos Las","Sarnau Stables Joins Barry Murphy Racing Welsh Gold Cup Handicap Chase (GBB Race)","5yo+","Class 3",,"3m ","9242","Soft","8","1st",,"Big City Roller","0","Longsdon, C E","8","Pinchin, Miss L M","0","164","8.5",,"125","6 mins 40.29s","400.29",,"118","24","1","National Hunt","11.6991657","2.98","3","3","5237","83","Handicap Chase","prominent, led 2nd, headed before 3rd, left in lead but hampered 5th, not fluent 3 out, ridden after 2 out, all out after last, just held on","4","None","Left Handed","CkPc","17","6","Cityscape","Flat","9242","Gelding","Wise Little Girl","Singspiel (IRE)","129",
