racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","1st",,"Warning Symbol (IRE)","1","Owen, J P","3","Lewis, Ashley","5","127","1.5","(Fav)","71","1 mins 38.83s","98.83",,"71.5","8","1","All Weather","2.68","1.39","3","3","1760","0","Handicap","led, prominent when headed after 1f, shaken up over 2f out, ridden to challenge over 1f out, led inside final furlong, kept on, just did enough","5","Inside","Right Handed",,"174","3","Mohaather","Polytrack","4187","Gelding","Eva Maria","Sea The Stars (IRE)","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","2nd","NK","Sudbury Hill (IRE)","2","Derham, Harry","3","Donohoe, Stephen","0","135","5.5",,"74","1 mins 38.83s","98.83","0.15","71.5","8","2","All Weather","8.2","2.16","3","3","1760","0","Handicap","slow into stride, held up in rear, waiting for room over 2f out, switched right and made headway over 1f out, went second inside final furlong, kept on well but not reach winner","1","Inside","Right Handed",,"128","6","Cotai Glory","Polytrack","1965","Gelding","La Cuvee","Mark Of Esteem (IRE)","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","3rd","1.25","Silver State (IRE)","4","Channon, Jack","3","Dawes, Rose","5","129","2",,"73","1 mins 38.83s","98.83","1.4","71.5","8","3","All Weather","3.23718072","1.41060611","3","3","1760","0","Handicap","close up, led after 1f, shaken up over 2f out, faced challenge when ridden over 1f out, headed and lost second inside final furlong, kept on same pace towards finish","3","Inside","Right Handed","Vsor","4","5","Lucky Vega (IRE)","Polytrack","982","Gelding","Kiyra Wells (IRE)","Sadlers Wells (USA)","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","4th","2.75","Maria Da Silva (IRE)","6","Balding, A M","3","Currie, Nicola","0","132","11",,"71","1 mins 38.83s","98.83","4.15","71.5","8","4","All Weather","15","3.15","3","3","1760","0","Handicap","in touch, shaken up 3f out, switched left over 2f out, ridden and made some headway over 1f out, ran on same pace inside final furlong","6","Inside","Right Handed",,"12","4","Showcasing","Polytrack","491","Filly","Golden Hind","Golden Horn","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","5th","2.5","Port Darwin (IRE)","5","Johnston, Charlie","3","Stammers, Oliver","0","128","22",,"67","1 mins 38.83s","98.83","6.65","71.5","8","5","All Weather","27","4.8","3","3","1760","0","Handicap","front rank, pushed along over 3f out, ridden along over 2f out, soon no impression, weakened inside final furlong","7","Inside","Right Handed",,"148","6","Australia","Polytrack","245","Gelding","Porthilly (FR)","Pivotal","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","6th","2.25","Quick Turn (FR)","7","Williams, Ian","3","Kavanagh, Ryan","5","115","33",,"59","1 mins 38.83s","98.83","8.9","71.5","8","6","All Weather","55","6.61161806","3","3","1760","0","Handicap","wore hood to post, took keen hold, prominent early, restrained and dropped to rear after 1f, pushed along 4f out, struggling over 3f out, beaten over 2f out","8","Inside","Right Handed",,"21","4","Profitable (IRE)","Polytrack","0","Gelding","Atlantic Edge (IRE)","Fastnet Rock (AUS)","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","7th","5.5","Dryburgh (IRE)","3","Rix, Oli","3","Peate, Jonny","0","134","11",,"73","1 mins 38.83s","98.83","14.4","71.5","8","7","All Weather","14","3","3","3","1760","0","Handicap","wore hood to post, took keen hold, tracked leaders, shaken up over 2f out, soon ridden, weakened over 1f out","2","Inside","Right Handed",,"119","5","New Bay","Polytrack","0","Gelding","Jo Jo Air (USA)","Scat Daddy (USA)","74",
"2026-02-18","5.30.","Kempton","Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race)","3yo","Class 5",,"1m ","4187","Standard To Slow","8","8th","15","Loma Express (IRE)","8","Kent, T J","3","Planas, Connor","3","130","33",,"72","1 mins 38.83s","98.83","29.4","71.5","8","8","All Weather","49.24564453","7.6","3","3","1760","0","Handicap","took keen hold, midfield, pushed along over 3f out, ridden and weakened over 2f out","4","Inside","Right Handed",,"11","5","Lucky Vega (IRE)","Polytrack","0","Filly","Whisper Dance (USA)","Stravinsky (USA)","74",
"2026-02-18","6.00.","Kempton","Try Unibets New Smartview Racecards Handicap (Rider Restricted Race)","4yo+","Class 5",,"1m ","4187","Standard To Slow","11","1st",,"Zoffandia (IRE)","4","Burke, Kieran","5","Lewis, Ashley","5","127","2.5",,"72","1 mins 36.45s","96.45",,"71","8","1","All Weather","3.85","1.72","3","3","1760","0","Handicap","mid-division, made headway in behind leaders over 3f out, shaken up to press leaders over 2f out, ridden to lead over 1f out, went clear inside final furlong, readily","4","Inside","Right Handed","Vsor TT","131","11","Zoffany (IRE)","Polytrack","4187","Gelding","Lambari (FR)","Medicean","75",
"2026-02-18","6.00.","Kempton","Try Unibets New Smartview Racecards Handicap (Rider Restricted Race)","4yo+","Class 5",,"1m ","4187","Standard To Slow","11","2nd","4.5","Baloos Blues","6","Hills, Charles","4","Vigors, Harry","7","116","10",,"63","1 mins 36.45s","96.45","4.5","71","8","2","All Weather","12.90707331","3.4","3","3","1760","0","Handicap","front rank, pushed along over 2f out, soon outpaced, made steady headway from over 1f out, went second inside final furlong, no match for winner","9","Inside","Right Handed",,"18","6","Havana Grey","Polytrack","1965","Gelding","Doobahdeedoo (USA)","Animal Kingdom (USA)","75",
"2026-02-18","6.00.","Kempton","Try Unibets New Smartview Racecards Handicap (Rider Restricted Race)","4yo+","Class 5",,"1m ","4187","Standard To Slow","11","3rd","0.75","Atmosphere","3","Spencer, Richard","4","Hutchinson, Callum","0","132","2","(Fav)","72","1 mins 36.45s","96.45","5.25","71","8","3","All Weather","3.75","1.57512429","3","3","1760","0","Handicap","tracked leaders on inner, waiting for room over 2f out, squeezed between rivals and went second over 1f out, soon no impression on winner, lost second inside final furlong","2","Inside","Right Handed","Vsor","91","11","Advertise","Polytrack","982","Gelding","Mother Love","Heeraat (IRE)","75",
"2026-02-18","6.00.","Kempton","Try Unibets New Smartview Racecards Handicap (Rider Restricted Race)","4yo+","Class 5",,"1m ","4187","Standard To Slow","11","4th","3.75","Tadreeb (IRE)","11","Millman, B R","8","Searle, Oliver","5","125","18",,"70","1 mins 36.45s","96.45","9","71","8","4","All Weather","26.07561642","5.4","3","3","1760","0","Handicap","slow into stride, held up in rear, plenty to do when pushed along over 2f out, no chance with leaders when ridden over 1f out, went modest fourth inside final furlong, never near to challenge","7","Inside","Right Handed","CkPc","11","44","Oasis Dream","Polytrack","491","Gelding","Wake Up Call","Noverre (USA)","75",
