racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","1st",,"Diamond Koda (IRE)","0","Kent, Nick","7","Broughton, Mr T P","0","168","5.5",,"105","4 mins 51.48s","291.48",,"102","19.5","1","National Hunt","7.19667564","2.32","3","3","4268","37","Handicap Hurdle","travelled strongly, prominent, smooth headway to lead 2 out, ridden and went clear approaching last, stayed on well","1","None","Left Handed","CkPc","76","14","Diamond Boy (FR)","Slight Undulations","3248","Gelding","Myakoda (FR)","Trempolino (USA)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","2nd","12","Peckforton Hills (IRE)","0","Greenall, O / Guerriero, J","6","Smith, Ben","6","146","3","(Fav)","89","4 mins 51.48s","291.48","12","102","19.5","2","National Hunt","5.5","2.16","3","3","4268","37","Handicap Hurdle","midfield, headway 2 out where slightly hampered, soon ridden, went third approaching last, kept on and went second final strides","12","None","Left Handed","CkPc TT","23","7","Youmzain (IRE)","Slight Undulations","1494","Gelding","Regal Force (IRE)","Kings Ride (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","3rd","NK","Camarrate (IRE)","0","McCain Jnr, D","6","Maggs, Mr Charlie","3","165","11",,"105","4 mins 51.48s","291.48","12.15","102","19.5","3","National Hunt","15.47856602","4.5","3","3","4268","37","Handicap Hurdle","held up in rear, ridden and in touch 2 out, headway to chase winner approaching last, kept on same pace, lost second final strides","2","None","Left Handed"," TT","61","15","Gleneagles (IRE)","Slight Undulations","747","Gelding","Celtic Cygnet (IRE)","Arcano (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","4th","7","Ryebridge (IRE)","0","Smith, Mrs S J / Parkinson, J","6","Palmer, Oscar","6","162","6",,"105","4 mins 51.48s","291.48","19.15","102","19.5","4","National Hunt","8.09161292","2.94","3","3","4268","37","Handicap Hurdle","prominent, ridden and every chance 2 out, soon faded","3","None","Left Handed",,"134","4","Diamond Boy (FR)","Slight Undulations","374","Gelding","Pretty Valira (IRE)","Kings Theatre (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","5th","14","Easter Icon","0","Brown, G","7","Anderson, Joe","0","162","33",,"99","4 mins 51.48s","291.48","33.15","102","19.5","5","National Hunt","59.51831592","11.64942684","3","3","4268","37","Handicap Hurdle","not always fluent, led, jumped left 3rd, ridden and headed 2 out where jumped left, soon faded","9","None","Left Handed",,"25","32","Sixties Icon","Slight Undulations","186","Gelding","Vive Ma Fille (GER)","Doyen (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","6th","NK","Lake Tiberias (IRE)","0","Derham, Harry","6","Durrell, Mr T","0","162","6",,"99","4 mins 51.48s","291.48","33.3","102","19.5","6","National Hunt","7.95431344","3","3","3","4268","37","Handicap Hurdle","midfield, ridden and in touch 2 out, soon outpaced","10","None","Left Handed",,"59","4","Diamond Boy (FR)","Slight Undulations","0","Gelding","Sea Of Galilee","Galileo (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","7th","40","Jack Hoola","0","Lacey, T","6","Iles, Cameron","3","158","5",,"98","4 mins 51.48s","291.48","73.3","102","19.5","7","National Hunt","7.82102095","2.64168844","3","3","4268","37","Handicap Hurdle","midfield, ridden and tailed off 2 out","11","None","Left Handed","Vsor","37","11","Jack Hobbs","Slight Undulations","0","Gelding","Hoola Hula","Yeats (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","8th","1.25","Maggies Boy (IRE)","0","Candlish, Jennie","7","Shanahan, William T","0","166","40",,"103","4 mins 51.48s","291.48","74.55","102","19.5","8","National Hunt","49.08084218","11.5893542","3","3","4268","37","Handicap Hurdle","ran in snatches, held up in midfield, outpaced and tailed off 2 out","5","None","Left Handed"," TT","250","11","Ocovango","Slight Undulations","0","Gelding","Hiwaitilitellu (IRE)","Milan","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","9th","4","Tigga Time (IRE)","0","Humphrey, Mrs S J","7","Gambin, Mr Jamie","8","157","10",,"102","4 mins 51.48s","291.48","78.55","102","19.5","9","National Hunt","12.53378119","4","3","3","4268","37","Handicap Hurdle","midfield, ridden and weakened before 2 out","7","None","Left Handed",,"82","9","Malinas (GER)","Slight Undulations",,"Gelding","Theregoesthetruth (IRE)","Flemensfirth (USA)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","10th","20","Raffertys Return","0","Menzies, Rebecca","11","Collier, Ellis","0","167","14",,"104","4 mins 51.48s","291.48","98.55","102","19.5","10","National Hunt","22","5.7","3","3","4268","37","Handicap Hurdle","midfield, ridden and outpaced in last before 3 out, soon tailed off","4","None","Left Handed","CkPc TT","24","29","Schiaparelli (GER)","Slight Undulations",,"Gelding","Duchess Theatre (IRE)","Kings Theatre (IRE)","105",
"2026-02-27","1.50.","Doncaster","Virgin Bet Conditional Jockeys Handicap Hurdle","4yo+","Class 5",,"2m3.5f ","3248","Good To Soft","12","PU",,"Rock On Cassie (IRE)","0","Armson, R J","10","Armson, Philip","0","165","100",,"102","4 mins 51.48s","291.48",,"102","19.5","PU","National Hunt","361.87082492","64.51366854","3","3","4268","37","Handicap Hurdle","held up in midfield, ridden and weakened 3 out, soon pulled up","6","None","Left Handed",,"22","9","Shirocco (GER)","Slight Undulations",,"Mare","Lissard Lady (IRE)","Oscar (IRE)","105",
