racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","1st",,"Park Princess (IRE)","0","Honeyball, A J","6","Twiston-Davies, Sam","0","154","11",,"126","6 mins 16.56s","376.56",,"120","24.5","1","National Hunt","15.00637614","3.55","3","3","5364","0","Novices Hurdle","midfield, smooth progress to lead before 2 out, shaken up to go clear before last, went further clear run-in","8","None","Left Handed"," TT","21","7","Walk In The Park (IRE)","Slight Undulations","25628","Mare","Reine Angevine (FR)","Poliglote","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","2nd","21","Dream Shadow (IRE)","0","OBrien, Fergal","7","Woods, K K","0","154","2.13","(Fav)","122","6 mins 16.56s","376.56","21","120","24.5","2","National Hunt","3.25","1.59","3","3","5364","0","Novices Hurdle","tracked leaders, brought to near side rail and shaken up into second before 2 out, plugged on run-in, no chance with easy winner","4","None","Left Handed",,"21","8","My Dream Boat (IRE)","Slight Undulations","9616","Mare","Rubys Shadow (IRE)","Supreme Leader","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","3rd","1","Limerick Lass (IRE)","0","Honeyball, A J","6","Godfrey, Ben","0","154","20",,"113","6 mins 16.56s","376.56","22","120","24.5","3","National Hunt","26.37104293","4.9","3","3","5364","0","Novices Hurdle","disputed lead, shaken up and headed before 2 out, weakened before last","6","None","Left Handed"," TT","48","4","Soldier Of Fortune (IRE)","Slight Undulations","4815","Mare","The Adare Woman (IRE)","Oscar (IRE)","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","4th","3","Coolanna (IRE)","0","Bailey, K C","6","Bellamy, Tom","0","154","3",,"119","6 mins 16.56s","376.56","25","120","24.5","4","National Hunt","5.01987841","1.86839868","3","3","5364","0","Novices Hurdle","tracked leaders, brought to near side rail and ridden before 2 out where went third, lost moderate third run-in","3","None","Left Handed"," TT","30","2","Affinisea (IRE)","Slight Undulations","2398","Mare","Coolaghmore Yeats (IRE)","Yeats (IRE)","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","5th","45","Broomfield Aderra (IRE)","0","Skelton, Daniel","6","Durrell, Mr T","0","154","8",,"121","6 mins 16.56s","376.56","70","120","24.5","5","National Hunt","10.38047209","2.81431675","3","3","5364","0","Novices Hurdle","midfield, brought to near side rail and shaken up before 2 out, beaten before last","2","None","Left Handed",,"64","5","Walk In The Park (IRE)","Slight Undulations","1206","Mare","Back To Loughadera (IRE)","Bob Back (USA)","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","PU",,"Barra Rua (IRE)","0","Mullins, Emmet","6","Meyler, D","0","154","3.5",,"119","6 mins 16.56s","376.56",,"120","24.5","PU","National Hunt","5.88837856","1.99","3","3","5364","0","Novices Hurdle","held up in touch, raced wide from 4th, pushed along after 3 out, soon beaten, pulled up before 2 out","1","None","Left Handed",,"26","9","Camelot","Slight Undulations",,"Mare","Millys Gesture (IRE)","Milan","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","PU",,"Livingonaprayer","0","Snowden, Jamie","5","Anderson, Joe","0","154","18",,"121","6 mins 16.56s","376.56",,"120","24.5","PU","National Hunt","24","5.44802456","3","3","5364","0","Novices Hurdle","held up in touch, pushed along before 3 out where not fluent, soon detached and pulled up","7","None","Left Handed",,"86","3","Dartmouth","Slight Undulations",,"Mare","Deadringerforlove","Black Sam Bellamy (IRE)","126",
"2026-02-28","1.25.","Doncaster","Virgin Bet A Good Bet Mares Novices Hurdle (Listed) (GBB Race)","5yo+","Class 1","Listed Race","3m.5f ","25628","Soft","8","PU",,"Easy Love (IRE)","0","Honeyball, A J","6","Dingle, Rex","0","154","10",,"118","6 mins 16.56s","376.56",,"120","24.5","PU","National Hunt","12.4380498","3.12366589","3","3","5364","0","Novices Hurdle","disputed lead, ridden and headed before 2 out, weakened after 2 out","5","None","Left Handed",,"21","8","Spanish Moon (USA)","Slight Undulations",,"Mare","Cosavita (FR)","Comte Du Bourg (FR)","126",
"2026-02-28","1.55.","Doncaster","Virgin Bet Supports Safe Gambling Handicap Chase (GBB Race)","5yo+","Class 2",,"2m.5f ","20812","Soft","5","1st",,"Mighty Bandit (IRE)","0","Greatrex, W J","6","Bowen, James C","0","160","1.63","(Fav)","142","4 mins 10.05s","250.05",,"132","16.5","1","National Hunt","2.69745918","1.62","2","2","3598","0","Handicap Chase","wore red hood to post, made all, pushed clear before last, drew further clear run-in, easily","3","None","Left Handed",,"35","21","Order Of St George (IRE)","Slight Undulations","20812","Gelding","Akalara (IRE)","Masterofthehorse (IRE)","150",
"2026-02-28","1.55.","Doncaster","Virgin Bet Supports Safe Gambling Handicap Chase (GBB Race)","5yo+","Class 2",,"2m.5f ","20812","Soft","5","2nd","17","Queens Gamble (IRE)","0","Derham, Harry","8","OBrien, P V","0","150","1.88",,"132","4 mins 10.05s","250.05","17","132","16.5","2","National Hunt","3.25","1.77402055","2","2","3598","0","Handicap Chase","prominent, ridden to chase leader before 2 out, no impression on winner before last where mistake, plugged on","4","None","Left Handed",,"14","13","Getaway (GER)","Slight Undulations","9568","Mare","Gambling Girl (IRE)","Hawk Wing (USA)","150",
