racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace
19/02/2026,1.06.,Huntingdon,It Pays To Buy Irish Novices Handicap Chase (GBB Race),5yo+,Class 4,,2m1f ,5545,Heavy,3,1st,,Secret Des Dieux (FR),0,"Owen, J P",6,"Bowen, Sean P",0,165,0.25,(Fav),122,4 mins 30.55s,270.55,,117,17,1,National Hunt,0,0,1,0,3624,67,Handicap Novices Chase,"tracked leading pair, went second 6th, led still going well before 2 out, shaken up after 2 out, went clear run-in",1,None,Right Handed,,26,13,Zarak (FR),Flat,5545,Gelding,Sable Island (FR),Slickly (FR),122
19/02/2026,1.06.,Huntingdon,It Pays To Buy Irish Novices Handicap Chase (GBB Race),5yo+,Class 4,,2m1f ,5545,Heavy,3,2nd,13,Epinephrine (FR),0,"Williams, Miss Venetia",6,"Deutsch, Charlie",0,156,5.5,,113,4 mins 30.55s,270.55,13,117,17,2,National Hunt,0,0,1,0,3624,67,Handicap Novices Chase,"raced in second, lost second 6th, nodded on landing 4 out, pushed along after 3 out, regained second before last, no chance with easy winner",3,None,Right Handed,,24,6,No Risk At All (FR),Flat,2552,Mare,Brave Dhonneur (FR),Baroud DHonneur (FR),122
19/02/2026,1.06.,Huntingdon,It Pays To Buy Irish Novices Handicap Chase (GBB Race),5yo+,Class 4,,2m1f ,5545,Heavy,3,3rd,8.5,Hypotenus,0,"Tickle, J",7,"Fisher, Taylor",0,160,7,,117,4 mins 30.55s,270.55,21.5,117,17,3,National Hunt,0,0,1,0,3624,67,Handicap Novices Chase,"led, ridden and headed before 2 out, lost second before last, no extra run-in",2,None,Right Handed,,19,21,Lope De Vega (IRE),Flat,1276,Gelding,Mathematicienne (IRE),Galileo (IRE),122
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,1st,,Burano Murano,0,"Quinn, Denis P",4,"Pritchard, Mr Callum",3,146,8,,0,4 mins 6.66s,246.66,,0,16,1,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"prominent, led before 2 out, ridden clear run-in",11,None,Right Handed,,11,8,Planteur (IRE),Flat,5446,Gelding,Fast Menantie (FR),Silver Frost (IRE),105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,2nd,3.75,Lejo Du Seuil (FR),0,"Williams, Ian",5,"Dunne, R T",0,161,5,,0,4 mins 6.66s,246.66,3.75,0,16,2,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"tracked leaders, shaken up before 2 out, went second before last, kept on but no match for winner",4,None,Right Handed,,15,2,Spanish Moon (USA),Flat,2509,Gelding,Victoria Du Seuil (FR),Bachir (IRE),105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,3rd,4,Idaho Valley (IRE),0,"McCain Jnr, D",6,"Gillard, Mr T",0,161,0.57,(Fav),105,4 mins 6.66s,246.66,7.75,0,16,3,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"led, ridden and headed before 2 out, lost second before last, plugged on run-in",2,None,Right Handed,,67,7,Idaho (IRE),Flat,1254,Gelding,Katies Fashion (IRE),Saddlers Hall (IRE),105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,4th,9,Paragon (IRE),0,"Sly, Mrs P",4,"OBrien, P V",0,149,25,,0,4 mins 6.66s,246.66,16.75,0,16,4,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"held up in touch, progress before 3 out, ridden after 3 out, mistake last, went moderate fourth run-in, never going pace to challenge",12,None,Right Handed,,113,11,Churchill (IRE),Flat,628,Gelding,Winter Beau (IRE),Power,105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,5th,0.5,Lord Virginia (FR),0,"Keighley, M",5,"Morgan, Mr Beau",5,156,5.5,,0,4 mins 6.66s,246.66,17.25,0,16,5,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"midfield, improved into third 5th, not fluent 3 out, soon pushed along and lost third, weakened after 2 out",5,None,Right Handed,,14,5,Walzertakt (GER),Flat,0,Gelding,Virginia Bella (FR),Laveron,105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,6th,7,Different Drum,0,"Allan, Miss Louise",5,"Quinlan, Jack",0,161,25,,0,4 mins 6.66s,246.66,24.25,0,16,6,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"midfield, pushed along after 3 out, no impression",1,None,Right Handed,,14,16,Sea The Moon (GER),Flat,0,Gelding,Hi Calypso (IRE),In The Wings,105
19/02/2026,1.41.,Huntingdon,ITM At Huntingdon Maiden Hurdle (GBB Race),4yo+,Class 4,,2m ,5446,Heavy,9,7th,8.5,Out Of It (FR),0,"Aprahamian, Billy",5,"Bowen, James C",0,161,22,,0,4 mins 6.66s,246.66,32.75,0,16,7,National Hunt,0,0,3,0,3471,81,Maiden Hurdle,"held up in rear, asked for effort after 3 out, mistake 2 out, never involved",6,None,Right Handed,Hood,53,2,Nirvana Du Berlais (FR),Flat,0,Gelding,Oblivion (GER),Lord Of England (GER),105
