std_key,median_time,mean_time,n_races,distance,courseName,surface
CHESTER_7.0_Turf,93.76900636684718,93.83769203608492,61,7.0,CHESTER,Turf
CHESTER_7.5_Turf,101.3132319083198,101.47165312861809,51,7.58,CHESTER,Turf
CLONMEL_16.5_Turf,241.15821689259644,242.50700263537365,15,16.5,CLONMEL,Turf
CLONMEL_9.5_Turf,135.55802210764023,135.2971726200765,35,9.75,CLONMEL,Turf
CORK_10.0_Turf,140.82177198412182,142.93483698975055,84,10.23,CORK,Turf
CORK_12.0_Turf,167.67574801443124,168.6474963569819,68,12.0,CORK,Turf
CORK_5.0_Turf,63.82309089046547,64.04385258563788,113,5.0,CORK,Turf
CORK_6.0_Turf,77.41709333333333,77.65760263891528,98,6.0,CORK,Turf
CORK_7.0_Turf,91.94655555555555,93.14989972304224,127,7.0,CORK,Turf
CORK_8.0_Turf,108.73094419152724,108.9883000593815,92,8.0,CORK,Turf
CORK_8.5_Turf,116.87385448407846,119.73173573596696,60,8.68,CORK,Turf
CURRAGH_10.0_Turf,137.90717467152024,138.41031793425321,218,10.0,CURRAGH,Turf
CURRAGH_12.0_Turf,167.20330922943953,167.9580150505524,144,12.0,CURRAGH,Turf
CURRAGH_14.0_Turf,196.5084851694832,196.76377660174683,49,14.0,CURRAGH,Turf
CURRAGH_16.0_Turf,226.78920770350183,226.96518599929098,39,16.0,CURRAGH,Turf
CURRAGH_5.0_Turf,64.20024852443478,64.63272401199661,173,5.0,CURRAGH,Turf
CURRAGH_6.0_Turf,78.30285386499946,78.57165246776671,403,6.0,CURRAGH,Turf
CURRAGH_6.5_Turf,82.69240223434744,82.68474827777315,53,6.29,CURRAGH,Turf
CURRAGH_7.0_Turf,91.98696444444444,92.25857612303582,329,7.0,CURRAGH,Turf
CURRAGH_8.0_Turf,106.96373820459114,107.50880899806306,287,8.0,CURRAGH,Turf
CURRAGH_9.0_Turf,122.32104102619425,122.82285688523764,40,9.0,CURRAGH,Turf
DONCASTER_10.0_Turf,140.57004360222282,140.72594925192,192,10.2,DONCASTER,Turf
DONCASTER_10.5_Turf,140.00391598278713,140.08782883808982,62,10.27,DONCASTER,Turf
DONCASTER_12.0_Turf,165.38578886140556,165.71701009738908,183,12.0,DONCASTER,Turf
DONCASTER_14.5_Turf,202.90084866042835,203.0108676327523,90,14.6,DONCASTER,Turf
DONCASTER_16.5_Turf,235.6888030253516,236.8995422399915,22,16.5,DONCASTER,Turf
DONCASTER_5.0_Turf,64.0333845996511,64.21038150251461,176,5.0,DONCASTER,Turf
DONCASTER_5.5_Turf,72.69823304694128,72.92011891206886,26,5.64,DONCASTER,Turf
DONCASTER_6.0_Turf,78.16146627951889,78.19028265606528,350,6.0,DONCASTER,Turf
DONCASTER_6.5_Turf,85.40964253294527,85.49988383445087,48,6.5,DONCASTER,Turf
DONCASTER_7.0_Turf,92.66252802114997,92.74946596730389,427,7.0,DONCASTER,Turf
DONCASTER_8.0_Turf,106.61077756547331,106.70093176277639,260,8.0,DONCASTER,Turf
DOWN ROYAL_10.5_Turf,146.20463586065188,146.22066305145287,60,10.45,DOWN ROYAL,Turf
DOWN ROYAL_12.5_Turf,181.19391798391155,181.14684643416538,26,12.48,DOWN ROYAL,Turf
DOWN ROYAL_13.0_Turf,181.805947959889,181.69086624962856,38,12.89,DOWN ROYAL,Turf
DOWN ROYAL_5.0_Turf,64.34365750011634,64.33867714339425,85,5.0,DOWN ROYAL,Turf
DOWN ROYAL_7.0_Turf,95.1788239385169,95.04244266423733,82,7.0,DOWN ROYAL,Turf
DUNDALK_10.5_All Weather,145.17759119761905,145.30466266493994,568,10.68,DUNDALK,All Weather
DUNDALK_12.0_All Weather,164.31823619248263,164.49812768421725,434,12.0,DUNDALK,All Weather
DUNDALK_16.0_All Weather,224.8038990948814,225.10968267768337,92,16.0,DUNDALK,All Weather
DUNDALK_5.0_All Weather,63.92006933576333,63.912800036279876,321,5.0,DUNDALK,All Weather
DUNDALK_6.0_All Weather,77.90563016653292,77.92371340710604,446,6.0,DUNDALK,All Weather
DUNDALK_7.0_All Weather,92.09398024929774,92.08565943933809,814,7.0,DUNDALK,All Weather
DUNDALK_8.0_All Weather,105.81368836573331,105.81473438653123,841,8.0,DUNDALK,All Weather
