courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Pilu (IRE),0.0000,6.0000,Good,Turf,2.0000,3,122,70.2300,,76.7615,3.6963,-0.0219,,0.0000,12.0000,0,,,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Reciprocated,0.0000,6.0000,Good,Turf,2.0000,3,126,70.2300,,76.7615,3.6963,-0.0219,,0.0000,12.0000,0,,,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Enricher (IRE),0.0000,6.0000,Good,Turf,2.0000,3,118,70.2300,,76.7615,3.6963,-0.0219,,0.0000,12.0000,0,,,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Sovereign Spell (IRE),1.0000,6.0000,Good,Turf,2.0000,3,120,70.2300,,76.7615,3.6963,-0.0219,202.2178,-6.0000,12.0000,0,214.2178,85.2000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Advertised (IRE),2.0000,6.0000,Good,Turf,2.0000,3,125,70.2300,0.5000,76.7615,3.6963,-0.0219,205.3697,-1.0000,12.0000,0,217.3697,87.3000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Albaydaa (IRE),3.0000,6.0000,Good,Turf,2.0000,3,118,70.2300,2.5000,76.7615,3.6963,-0.0219,190.9770,-8.0000,12.0000,5,202.9770,74.3000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Song of The Clyde,4.0000,6.0000,Good,Turf,2.0000,3,135,70.2300,2.6500,76.7615,3.6963,-0.0219,207.4226,9.0000,12.0000,0,219.4226,88.4000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Ironwill (IRE),5.0000,6.0000,Good,Turf,2.0000,3,124,70.2300,4.1500,76.7615,3.6963,-0.0219,190.8781,-2.0000,12.0000,0,202.8781,75.9000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,First Legion (IRE),6.0000,6.0000,Good,Turf,2.0000,3,127,70.2300,4.9000,76.7615,3.6963,-0.0219,191.1058,1.0000,12.0000,0,203.1058,75.9000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Rogue Supremacy,7.0000,6.0000,Good,Turf,2.0000,3,127,70.2300,7.4000,76.7615,3.6963,-0.0219,181.8650,1.0000,12.0000,0,193.8650,67.2000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Sir Alfie (IRE),8.0000,6.0000,Good,Turf,2.0000,3,125,70.2300,8.1500,76.7615,3.6963,-0.0219,177.0928,-1.0000,12.0000,0,189.0928,64.1000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Boston Dan (IRE),9.0000,6.0000,Good,Turf,2.0000,3,132,70.2300,11.1500,76.7615,3.6963,-0.0219,173.0038,6.0000,12.0000,0,185.0038,59.8000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Sayidah Hard Spun,10.0000,6.0000,Good,Turf,2.0000,3,125,70.2300,17.1500,76.7615,3.6963,-0.0219,143.8258,-1.0000,12.0000,5,155.8258,34.0000,high
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Lebron Power,11.0000,6.0000,Good,Turf,2.0000,3,123,70.2300,21.9000,76.7615,3.6963,-0.0219,127.4558,-3.0000,12.0000,5,139.4558,36.3000,low
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Treanmor (IRE),12.0000,6.0000,Good,Turf,2.0000,3,128,70.2300,27.4000,76.7615,3.6963,-0.0219,122.2909,2.0000,12.0000,0,134.2909,32.7000,low
NEWMARKET (ROWLEY),1,2026-04-16_NEWMARKET (ROWLEY)_1,Silent Applause (IRE),13.0000,6.0000,Good,Turf,2.0000,3,131,70.2300,62.4000,76.7615,3.6963,-0.0219,60.6051,5.0000,12.0000,0,72.6051,-10.7000,low
NEWMARKET (ROWLEY),2,2026-04-16_NEWMARKET (ROWLEY)_2,Portcullis,1.0000,8.0000,Good,Turf,2.0000,3,133,98.7900,,104.6541,2.7090,-0.0219,179.7374,7.0000,11.0000,0,190.7374,70.2000,high
NEWMARKET (ROWLEY),2,2026-04-16_NEWMARKET (ROWLEY)_2,Dark Whisper (FR),2.0000,8.0000,Good,Turf,2.0000,3,133,98.7900,5.5000,104.6541,2.7090,-0.0219,164.8378,7.0000,11.0000,0,175.8378,57.3000,high
NEWMARKET (ROWLEY),2,2026-04-16_NEWMARKET (ROWLEY)_2,Impierious,3.0000,8.0000,Good,Turf,2.0000,3,133,98.7900,8.0000,104.6541,2.7090,-0.0219,158.0653,7.0000,11.0000,0,169.0653,51.7000,high
NEWMARKET (ROWLEY),2,2026-04-16_NEWMARKET (ROWLEY)_2,Bemersyde (IRE),4.0000,8.0000,Good,Turf,2.0000,3,133,98.7900,9.0000,104.6541,2.7090,-0.0219,155.3563,7.0000,11.0000,0,166.3563,51.6000,high
