courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
CARLISLE,1,2026-06-24_CARLISLE_1,Sod Hall Lane (IRE),0.0000,5.0000,Good To Firm,Turf,4.0000,2,133,63.2100,,63.7079,4.0342,0.3909,,0.0000,20.0000,0,,,high
CARLISLE,1,2026-06-24_CARLISLE_1,In The Black,1.0000,5.0000,Good To Firm,Turf,4.0000,2,128,63.2100,,63.7079,4.0342,0.3909,151.0854,2.0000,20.0000,3,171.0854,42.1000,high
CARLISLE,1,2026-06-24_CARLISLE_1,By Jove Grace (IRE),2.0000,5.0000,Good To Firm,Turf,4.0000,2,128,63.2100,1.5000,63.7079,4.0342,0.3909,145.0340,2.0000,20.0000,3,165.0340,39.3000,high
CARLISLE,1,2026-06-24_CARLISLE_1,Louis The Fifth (IRE),3.0000,5.0000,Good To Firm,Turf,4.0000,2,133,63.2100,3.0000,63.7079,4.0342,0.3909,143.9826,7.0000,20.0000,0,163.9826,39.5000,high
CARLISLE,1,2026-06-24_CARLISLE_1,Queen Of Christmas (IRE),4.0000,5.0000,Good To Firm,Turf,4.0000,2,128,63.2100,5.7500,63.7079,4.0342,0.3909,127.8885,2.0000,20.0000,3,147.8885,21.7000,high
CARLISLE,2,2026-06-24_CARLISLE_2,One Shot Kodi (IRE),0.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,,73.4551,3.5624,0.3909,,0.0000,18.3455,3,,,high
CARLISLE,2,2026-06-24_CARLISLE_2,Ruby Moon (IRE),1.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,,73.4551,3.5624,0.3909,153.1030,2.0000,18.3455,3,171.4485,63.1000,high
CARLISLE,2,2026-06-24_CARLISLE_2,Silesia,2.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,1.2500,73.4551,3.5624,0.3909,148.6501,2.0000,18.3455,3,166.9955,57.4000,high
CARLISLE,2,2026-06-24_CARLISLE_2,Love Tanya (IRE),3.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,12.2500,73.4551,3.5624,0.3909,109.4641,2.0000,18.3455,3,127.8096,22.3000,high
CARLISLE,2,2026-06-24_CARLISLE_2,Enhancing,4.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,13.2500,73.4551,3.5624,0.3909,105.9017,2.0000,18.3455,3,124.2472,14.8000,high
CARLISLE,2,2026-06-24_CARLISLE_2,Independent Roze,5.0000,5.8273,Good To Firm,Turf,4.0000,2,128,72.8400,28.2500,73.4551,3.5624,0.3909,72.7318,2.0000,18.3455,3,91.0772,-19.4000,low
CARLISLE,3,2026-06-24_CARLISLE_3,Mia Fantasia (IRE),1.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,,88.8211,3.0295,0.3909,167.0292,7.0000,15.3409,0,182.3701,71.8000,high
CARLISLE,3,2026-06-24_CARLISLE_3,The First Drop,2.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,2.5000,88.8211,3.0295,0.3909,159.4555,7.0000,15.3409,0,174.7964,63.7000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Ricky Punting (IRE),3.0000,6.8864,Good To Firm,Turf,4.0000,2,130,87.4900,5.7500,88.8211,3.0295,0.3909,146.6096,4.0000,15.3409,0,161.9505,53.1000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Telegraphic,4.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,5.9000,88.8211,3.0295,0.3909,149.1552,7.0000,15.3409,0,164.4961,54.5000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Wells Fargo Stage,5.0000,6.8864,Good To Firm,Turf,4.0000,2,125,87.4900,8.6500,88.8211,3.0295,0.3909,132.8241,-1.0000,15.3409,3,148.1650,43.0000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Social Spirit,6.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,8.8000,88.8211,3.0295,0.3909,140.3697,7.0000,15.3409,0,155.7106,47.0000,high
CARLISLE,3,2026-06-24_CARLISLE_3,King Of Persia,7.0000,6.8864,Good To Firm,Turf,4.0000,2,130,87.4900,10.5500,88.8211,3.0295,0.3909,132.0681,4.0000,15.3409,0,147.4090,38.0000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Platinum Force (IRE),8.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,15.0500,88.8211,3.0295,0.3909,121.4354,7.0000,15.3409,0,136.7763,27.9000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Mrs Mole (IRE),9.0000,6.8864,Good To Firm,Turf,4.0000,2,125,87.4900,15.8000,88.8211,3.0295,0.3909,111.1633,-1.0000,15.3409,3,126.5042,17.7000,high
CARLISLE,3,2026-06-24_CARLISLE_3,Be More Ruthless,10.0000,6.8864,Good To Firm,Turf,4.0000,2,125,87.4900,28.8000,88.8211,3.0295,0.3909,89.8471,-1.0000,15.3409,3,105.1880,10.1000,low
CARLISLE,3,2026-06-24_CARLISLE_3,Parry Green,11.0000,6.8864,Good To Firm,Turf,4.0000,2,133,87.4900,61.8000,88.8211,3.0295,0.3909,47.8605,7.0000,15.3409,0,63.2014,-13.9000,low
CARLISLE,4,2026-06-24_CARLISLE_4,Pepsea (IRE),0.0000,7.7864,Good To Firm,Turf,4.0000,3,130,98.0700,,100.6975,2.7293,0.3909,,0.0000,6.5727,0,,,high
CARLISLE,4,2026-06-24_CARLISLE_4,Runswick (IRE),1.0000,7.7864,Good To Firm,Turf,4.0000,3,136,98.0700,,100.6975,2.7293,0.3909,185.3758,10.0000,6.5727,0,191.9486,80.2000,high
CARLISLE,4,2026-06-24_CARLISLE_4,Barley (IRE),2.0000,7.7864,Good To Firm,Turf,4.0000,7,133,98.0700,2.2500,100.6975,2.7293,0.3909,176.2350,7.0000,-1.0000,0,175.2350,68.8000,high
