meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-08-29,CAV,1,2026-08-29_CAV_1,MELODIE ITALIENNE,1.0,1600,Bon souple,Turf,6,3,120.15178999999999,96.29,0.0,95.15426111508789,2.553619027189231,0.0009355815394682702,100.0,-5.848210000000009,94.15178999999999,3.046448739362125,97.19823873936211,61.81161291033007,61.81161291033007,
2026-08-29,CAV,1,2026-08-29_CAV_1,NEWS DES BRIERES,2.0,1600,Bon souple,Turf,6,3,122.35640999999998,,0.25,95.15426111508789,2.553619027189231,0.0009355815394682702,99.36159524320269,-3.6435900000000174,95.71800524320267,3.046448739362125,98.76445398256479,62.867241984248665,62.867241984248665,
2026-08-29,CAV,1,2026-08-29_CAV_1,KENALIGHT,3.0,1600,Bon souple,Turf,6,3,120.15178999999999,,1.75,95.15426111508789,2.553619027189231,0.0009355815394682702,95.53116670241884,-5.848210000000009,89.68295670241883,3.046448739362125,92.72940544178095,58.79961926776036,58.79961926776036,
2026-08-29,CAV,1,2026-08-29_CAV_1,ANDUGAL,4.0,1600,Bon souple,Turf,6,3,123.45871999999999,,2.75,95.15426111508789,2.553619027189231,0.0009355815394682702,92.97754767522962,-2.5412800000000146,90.4362676752296,3.046448739362125,93.48271641459172,59.30735086343482,59.30735086343482,
2026-08-29,CAV,1,2026-08-29_CAV_1,AGNESIT'A,5.0,1600,Bon souple,Turf,6,3,120.15178999999999,,2.85,95.15426111508789,2.553619027189231,0.0009355815394682702,92.72218577251068,-5.848210000000009,86.87397577251068,3.046448739362125,89.9204245118728,56.906366121002264,56.906366121002264,
2026-08-29,CAV,1,2026-08-29_CAV_1,ALEKSANDROVKA,6.0,1600,Bon souple,Turf,6,3,124.56102999999999,,3.0,95.15426111508789,2.553619027189231,0.0009355815394682702,92.3391429184323,-1.4389700000000119,90.90017291843229,3.046448739362125,93.94662165779441,59.62002299735343,59.62002299735343,
2026-08-29,CAV,1,2026-08-29_CAV_1,TEMADIVA,7.0,1600,Bon souple,Turf,6,3,120.15178999999999,,4.5,95.15426111508789,2.553619027189231,0.0009355815394682702,88.50871437764846,-5.848210000000009,82.66050437764845,3.046448739362125,85.70695311701057,54.066486400865124,54.066486400865124,
2026-08-29,CAV,1,2026-08-29_CAV_1,YODA,8.0,1600,Bon souple,Turf,6,3,123.45871999999999,,4.6,95.15426111508789,2.553619027189231,0.0009355815394682702,88.25335247492954,-2.5412800000000146,85.71207247492953,3.046448739362125,88.75852121429165,56.12324329843257,56.12324329843257,
2026-08-29,CAV,1,2026-08-29_CAV_1,NUEVO QUARTZ,9.0,1600,Bon souple,Turf,6,3,127.86795999999998,,4.85,95.15426111508789,2.553619027189231,0.0009355815394682702,87.61494771813223,1.8679599999999823,89.48290771813221,3.046448739362125,92.52935645749433,58.66478625235118,58.66478625235118,
2026-08-29,CAV,1,2026-08-29_CAV_1,THE BLACK VELVET,10.0,1600,Bon souple,Turf,6,3,122.35640999999998,,13.85,95.15426111508789,2.553619027189231,0.0009355815394682702,64.63237647342915,-3.6435900000000174,60.98878647342913,3.046448739362125,64.03523521279125,39.459748533421305,39.459748533421305,
2026-08-29,CAV,1,2026-08-29_CAV_1,ELMY,11.0,1600,Bon souple,Turf,6,3,123.45871999999999,,28.85,95.15426111508789,2.553619027189231,0.0009355815394682702,39.550312280571745,-2.5412800000000146,37.00903228057173,3.046448739362125,40.05548101993386,,,excluded: beaten >20 lengths
2026-08-29,CAV,3,2026-08-29_CAV_3,ISNEAUVILLE,1.0,1600,Bon souple,Turf,6,4,122.35640999999998,96.44,0.0,95.15426111508789,2.5496472016595924,0.0009355815394682702,100.0,-3.6435900000000174,96.35640999999998,0.0,96.35640999999998,61.244220339999984,61.244220339999984,
2026-08-29,CAV,3,2026-08-29_CAV_3,ELUSIVE GLORY,2.0,1600,Bon souple,Turf,6,5,125.66333999999999,,0.1,95.15426111508789,2.5496472016595924,0.0009355815394682702,99.74503527983404,-0.33666000000000906,99.40837527983403,0.0,99.40837527983403,63.301244938608136,63.301244938608136,
2026-08-29,CAV,3,2026-08-29_CAV_3,SPORT COUPE,3.0,1600,Bon souple,Turf,6,8,136.68643999999998,,9.1,95.15426111508789,2.5496472016595924,0.0009355815394682702,76.7982104648977,10.686439999999976,87.48465046489768,0.0,87.48465046489768,55.26465441334104,55.26465441334104,
2026-08-29,CAV,3,2026-08-29_CAV_3,WAKA WAKA,4.0,1600,Bon souple,Turf,6,4,123.45871999999999,,11.6,95.15426111508789,2.5496472016595924,0.0009355815394682702,70.42409246074872,-2.5412800000000146,67.88281246074871,0.0,67.88281246074871,42.05301559854463,42.05301559854463,
2026-08-29,CAV,5,2026-08-29_CAV_5,LESSARD,1.0,2200,Bon souple,Turf,7,5,126.76565,146.3,0.0,139.3527982931999,1.7586113334505151,0.0009355815394682702,57.01142899870867,0.7656499999999937,57.77707899870867,0.0,57.77707899870867,35.24175124512964,35.24175124512964,
2026-08-29,CAV,5,2026-08-29_CAV_5,RABBAH,2.0,2200,Bon souple,Turf,7,7,127.86795999999998,,0.75,139.3527982931999,1.7586113334505151,0.0009355815394682702,55.692470498620786,1.8679599999999823,57.56043049862077,0.0,57.56043049862077,35.095730156070395,35.095730156070395,
2026-08-29,CAV,5,2026-08-29_CAV_5,TIBERIANA,3.0,2200,Bon souple,Turf,7,4,131.17488999999998,,0.9,139.3527982931999,1.7586113334505151,0.0009355815394682702,55.42867879860321,5.1748899999999765,60.603568798603185,0.0,60.603568798603185,37.14680537025855,37.14680537025855,
2026-08-29,CAV,5,2026-08-29_CAV_5,SYLVER SAMBA,4.0,2200,Bon souple,Turf,7,7,126.76565,,2.9,139.3527982931999,1.7586113334505151,0.0009355815394682702,51.91145613170218,0.7656499999999937,52.677106131702175,0.0,52.677106131702175,31.80436953276727,31.80436953276727,
2026-08-29,CAV,5,2026-08-29_CAV_5,VITUS BERING,5.0,2200,Bon souple,Turf,7,5,127.86795999999998,,4.9,139.3527982931999,1.7586113334505151,0.0009355815394682702,48.39423346480115,1.8679599999999823,50.26219346480113,0.0,50.26219346480113,30.176718395275966,30.176718395275966,
2026-08-29,CAV,5,2026-08-29_CAV_5,POLYSPEED,6.0,2200,Bon souple,Turf,7,5,131.17488999999998,,11.9,139.3527982931999,1.7586113334505151,0.0009355815394682702,36.08395413064754,5.1748899999999765,41.25884413064752,0.0,41.25884413064752,24.10846094405643,24.10846094405643,
2026-08-29,CAV,5,2026-08-29_CAV_5,BERLINETTA,7.0,2200,Bon souple,Turf,7,4,123.45871999999999,,12.4,139.3527982931999,1.7586113334505151,0.0009355815394682702,35.20464846392228,-2.5412800000000146,32.66336846392227,0.0,32.66336846392227,18.31511034468361,18.31511034468361,
