meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-18,BOR,1,2026-03-18_BOR_1,WITCHWAY,1.0,4.970969537898672,Très souple,Turf,5,2,127.86795999999998,59.13,0.0,,4.02336,0.13678250602821418,,1.8679599999999823,,12.0,,,
2026-03-18,BOR,1,2026-03-18_BOR_1,DICANTO,2.0,4.970969537898672,Très souple,Turf,5,2,127.86795999999998,,2.5,,4.02336,0.13678250602821418,,1.8679599999999823,,12.0,,,
2026-03-18,BOR,1,2026-03-18_BOR_1,BODY PHYSICAL,3.0,4.970969537898672,Très souple,Turf,5,2,124.56102999999999,,2.65,,4.02336,0.13678250602821418,,-1.4389700000000119,,12.0,,,
2026-03-18,BOR,1,2026-03-18_BOR_1,MELLO MELLO,4.0,4.970969537898672,Très souple,Turf,5,2,124.56102999999999,,2.75,,4.02336,0.13678250602821418,,-1.4389700000000119,,12.0,,,
2026-03-18,BOR,1,2026-03-18_BOR_1,AMAZING SURPRISE,5.0,4.970969537898672,Très souple,Turf,5,2,124.56102999999999,,2.9,,4.02336,0.13678250602821418,,-1.4389700000000119,,12.0,,,
2026-03-18,BOR,1,2026-03-18_BOR_1,CORBUSIER,6.0,4.970969537898672,Très souple,Turf,5,2,127.86795999999998,,3.15,,4.02336,0.13678250602821418,,1.8679599999999823,,12.0,,,
2026-03-18,BOR,2,2026-03-18_BOR_2,COSMIC BOY,1.0,8.947745168217608,Très souple,Turf,5,3,125.66333999999999,109.97,0.0,110.69315801150861,2.2859893203880275,0.13678250602821418,122.25471203739352,-0.33666000000000906,121.91805203739351,3.578382247673588,125.4964342850671,95.86720847697677,95.86720847697677
2026-03-18,BOR,2,2026-03-18_BOR_2,LOHENGREEN,2.0,8.947745168217608,Très souple,Turf,5,3,125.66333999999999,,0.5,110.69315801150861,2.2859893203880275,0.13678250602821418,121.1117173771995,-0.33666000000000906,120.77505737719949,3.578382247673588,124.35343962487308,95.05314024932497,95.05314024932497
2026-03-18,BOR,2,2026-03-18_BOR_2,SAHIMAA,3.0,8.947745168217608,Très souple,Turf,5,3,122.35640999999998,,0.75,110.69315801150861,2.2859893203880275,0.13678250602821418,120.5402200471025,-3.6435900000000174,116.89663004710248,3.578382247673588,120.47501229477606,92.29083122668058,92.29083122668058
2026-03-18,BOR,2,2026-03-18_BOR_2,CARCAGNY,4.0,8.947745168217608,Très souple,Turf,5,3,122.35640999999998,,0.78,110.69315801150861,2.2859893203880275,0.13678250602821418,120.47164036749085,-3.6435900000000174,116.82805036749083,3.578382247673588,120.40643261516442,92.24198713302147,92.24198713302147
