meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-16,CHA,1,2026-03-16_CHA_1,SAINT SAENS,1.0,6.95935735305814,PSF STANDARD,All Weather,3,117.94716999999999,85.75,0.0,85.07475760302191,3.162752107105478,0.05701560919433525,95.59665208670728,-8.052830000000014,87.54382208670727,4.95935735305814,92.5031794397654,77.83318199569905,77.83318199569905
2026-03-16,CHA,1,2026-03-16_CHA_1,ROZARION,2.0,6.95935735305814,PSF STANDARD,All Weather,3,120.15178999999999,,1.25,85.07475760302191,3.162752107105478,0.05701560919433525,91.64321195282544,-5.848210000000009,85.79500195282543,4.95935735305814,90.75435930588357,76.60900790198177,76.60900790198177
2026-03-16,CHA,1,2026-03-16_CHA_1,MELUSINE DU HOULEY,3.0,6.95935735305814,PSF STANDARD,All Weather,3,122.35640999999998,,2.5,85.07475760302191,3.162752107105478,0.05701560919433525,87.68977181894358,-3.6435900000000174,84.04618181894357,4.95935735305814,89.0055391720017,75.38483380826446,75.38483380826446
2026-03-16,CHA,1,2026-03-16_CHA_1,TORNADO ALLEY,4.0,6.95935735305814,PSF STANDARD,All Weather,3,124.56102999999999,,3.75,85.07475760302191,3.162752107105478,0.05701560919433525,83.73633168506174,-1.4389700000000119,82.29736168506173,4.95935735305814,87.25671903811987,74.16065971454718,74.16065971454718
2026-03-16,CHA,1,2026-03-16_CHA_1,NELLIEDONADO,5.0,6.95935735305814,PSF STANDARD,All Weather,3,121.2541,,4.5,85.07475760302191,3.162752107105478,0.05701560919433525,81.36426760473263,-4.745900000000006,76.61836760473263,4.95935735305814,81.57772495779076,70.1853638583168,70.1853638583168
2026-03-16,CHA,1,2026-03-16_CHA_1,ROI TREZY,6.0,6.95935735305814,PSF STANDARD,All Weather,3,116.84485999999998,,4.6,85.07475760302191,3.162752107105478,0.05701560919433525,81.04799239402209,-9.155140000000017,71.89285239402207,4.95935735305814,76.85220974708021,66.87750321081941,66.87750321081941
2026-03-16,CHA,1,2026-03-16_CHA_1,LIWOOD,7.0,6.95935735305814,PSF STANDARD,All Weather,3,125.66333999999999,,4.85,85.07475760302191,3.162752107105478,0.05701560919433525,80.25730436724571,-0.33666000000000906,79.9206443672457,4.95935735305814,84.88000172030384,72.49695759207596,72.49695759207596
2026-03-16,CHA,1,2026-03-16_CHA_1,BASANTI,8.0,6.95935735305814,PSF STANDARD,All Weather,3,126.76565,,5.1,85.07475760302191,3.162752107105478,0.05701560919433525,79.46661634046934,0.7656499999999937,80.23226634046934,4.95935735305814,85.19162369352748,72.7150929733325,72.7150929733325
2026-03-16,CHA,1,2026-03-16_CHA_1,LIKE LINDY,9.0,6.95935735305814,PSF STANDARD,All Weather,3,130.07258,,5.13,85.07475760302191,3.162752107105478,0.05701560919433525,79.37173377725618,4.072579999999988,83.44431377725617,4.95935735305814,88.40367113031431,74.96352617908329,74.96352617908329
2026-03-16,CHA,1,2026-03-16_CHA_1,WARAMINI,10.0,6.95935735305814,PSF STANDARD,All Weather,3,122.35640999999998,,5.28,85.07475760302191,3.162752107105478,0.05701560919433525,78.89732096119036,-3.6435900000000174,75.25373096119034,4.95935735305814,80.21308831424848,69.23011820783721,69.23011820783721
2026-03-16,CHA,1,2026-03-16_CHA_1,MERLE,11.0,6.95935735305814,PSF STANDARD,All Weather,3,124.56102999999999,,6.53,85.07475760302191,3.162752107105478,0.05701560919433525,74.9438808273085,-1.4389700000000119,73.50491082730849,4.95935735305814,78.46426818036663,68.00594411411991,68.00594411411991
2026-03-16,CHA,1,2026-03-16_CHA_1,THE TINKER,12.0,6.95935735305814,PSF STANDARD,All Weather,3,123.45871999999999,,6.63,85.07475760302191,3.162752107105478,0.05701560919433525,74.62760561659796,-2.5412800000000146,72.08632561659795,4.95935735305814,77.04568296965608,67.01293446662254,67.01293446662254
2026-03-16,CHA,1,2026-03-16_CHA_1,VIVA LA SKIDS,13.0,6.95935735305814,PSF STANDARD,All Weather,3,136.68643999999998,,6.78,85.07475760302191,3.162752107105478,0.05701560919433525,74.15319280053214,10.686439999999976,84.83963280053212,4.95935735305814,89.79899015359025,75.94024949537645,75.94024949537645
2026-03-16,CHA,1,2026-03-16_CHA_1,VICTOR VITAE,14.0,6.95935735305814,PSF STANDARD,All Weather,3,130.07258,,8.030000000000001,85.07475760302191,3.162752107105478,0.05701560919433525,70.19975266665028,4.072579999999988,74.27233266665027,4.95935735305814,79.23169001970841,68.54313940165916,68.54313940165916
2026-03-16,CHA,1,2026-03-16_CHA_1,UNE GRAVURE,15.0,6.95935735305814,PSF STANDARD,All Weather,3,119.04947999999999,,11.030000000000001,85.07475760302191,3.162752107105478,0.05701560919433525,60.711496345333856,-6.950520000000012,53.760976345333845,4.95935735305814,58.72033369839198,54.18518997673766,54.18518997673766
2026-03-16,CHA,2,2026-03-16_CHA_2,HARISSA,1.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,98.07,0.0,97.99696852287403,2.778460843479062,0.05701560919433525,105.28525897355098,1.8679599999999823,107.15321897355096,5.0,112.15321897355096,91.58820966934894,91.58820966934894
