meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-04-21,MAN,1,2026-04-21_MAN_1,MOONDANCE,1.0,1100,Bon,Turf,5,2,124.56102999999999,65.13,0.0,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,RENOUVEAU,2.0,1100,Bon,Turf,5,2,124.56102999999999,,2.5,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,GIPSY PRINCESS,3.0,1100,Bon,Turf,5,2,124.56102999999999,,2.55,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,MOODS,4.0,1100,Bon,Turf,5,2,127.86795999999998,,2.5999999999999996,,3.6576000000000004,0.00023990907464017816,,1.8679599999999823,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,LADY OSPREY,5.0,1100,Bon,Turf,5,2,124.56102999999999,,4.1,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,SHE'S BOX OFFICE,6.0,1100,Bon,Turf,5,2,124.56102999999999,,5.6,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,BIG JET PLANE,7.0,1100,Bon,Turf,5,2,127.86795999999998,,5.699999999999999,,3.6576000000000004,0.00023990907464017816,,1.8679599999999823,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,ZUCHETTO,8.0,1100,Bon,Turf,5,2,127.86795999999998,,7.199999999999999,,3.6576000000000004,0.00023990907464017816,,1.8679599999999823,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,ANGEL BREIZH,9.0,1100,Bon,Turf,5,2,124.56102999999999,,11.2,,3.6576000000000004,0.00023990907464017816,,-1.4389700000000119,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,1,2026-04-21_MAN_1,SHARON,10.0,1100,Bon,Turf,5,2,127.86795999999998,,15.2,,3.6576000000000004,0.00023990907464017816,,1.8679599999999823,,12.0,,,,no standard time for this course/distance
2026-04-21,MAN,2,2026-04-21_MAN_2,CHEERIO,1.0,2300,Bon,Turf,5,3,127.86795999999998,144.97,0.0,145.08707915629864,1.760932958451651,0.00023990907464017816,101.71963950467507,1.8679599999999823,103.58759950467505,8.566770062833056,112.15436956750811,71.89204508850047,71.89204508850047,
2026-04-21,MAN,2,2026-04-21_MAN_2,SOTTCAT FAL,2.0,2300,Bon,Turf,5,3,124.56102999999999,,2.0,145.08707915629864,1.760932958451651,0.00023990907464017816,98.19777358777176,-1.4389700000000119,96.75880358777175,8.566770062833056,105.32557365060481,67.28943664050765,67.28943664050765,
2026-04-21,MAN,2,2026-04-21_MAN_2,NIGHTJAR,3.0,2300,Bon,Turf,5,3,124.56102999999999,,2.75,145.08707915629864,1.760932958451651,0.00023990907464017816,96.87707386893302,-1.4389700000000119,95.43810386893301,8.566770062833056,104.00487393176607,66.39928503001033,66.39928503001033,
2026-04-21,MAN,2,2026-04-21_MAN_2,ROSA DEI VENTI,4.0,2300,Bon,Turf,5,3,124.56102999999999,,4.75,145.08707915629864,1.760932958451651,0.00023990907464017816,93.35520795202973,-1.4389700000000119,91.91623795202972,8.566770062833056,100.48300801486278,64.02554740201751,64.02554740201751,
2026-04-21,MAN,2,2026-04-21_MAN_2,EL GADY,5.0,2300,Bon,Turf,5,3,127.86795999999998,,6.75,145.08707915629864,1.760932958451651,0.00023990907464017816,89.83334203512644,1.8679599999999823,91.70130203512642,8.566770062833056,100.26807209795948,63.88068059402468,63.88068059402468,
2026-04-21,MAN,2,2026-04-21_MAN_2,BLUE DAHLIA,6.0,2300,Bon,Turf,5,3,124.56102999999999,,8.25,145.08707915629864,1.760932958451651,0.00023990907464017816,87.19194259744896,-1.4389700000000119,85.75297259744895,8.566770062833056,94.319742660282,59.87150655303007,59.87150655303007,
2026-04-21,MAN,2,2026-04-21_MAN_2,NELSONN,7.0,2300,Bon,Turf,5,3,127.86795999999998,,8.75,145.08707915629864,1.760932958451651,0.00023990907464017816,86.31147611822313,1.8679599999999823,88.17943611822311,8.566770062833056,96.74620618105617,61.50694296603186,61.50694296603186,
