courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
DONCASTER,1,2026-03-29_DONCASTER_1,Rising Force (IRE),1.0000,8.0000,Good To Soft,Turf,5.0000,5,150,104.9700,,106.1296,0.4760,186.6271,24.0000,0.0000,0,186.6271,63.7000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Port Louis (IRE),2.0000,8.0000,Good To Soft,Turf,5.0000,5,152,104.9700,1.7500,106.1296,0.4760,184.1659,26.0000,0.0000,0,184.1659,60.5000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Star Cast,3.0000,8.0000,Good To Soft,Turf,5.0000,4,150,104.9700,2.5000,106.1296,0.4760,180.2540,24.0000,0.0000,5,180.2540,59.9000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Tees George,4.0000,8.0000,Good To Soft,Turf,5.0000,6,147,104.9700,3.0000,106.1296,0.4760,175.9794,21.0000,0.0000,0,175.9794,59.1000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Asian Journey (IRE),5.0000,8.0000,Good To Soft,Turf,5.0000,5,150,104.9700,3.5000,106.1296,0.4760,177.7048,24.0000,0.0000,0,177.7048,56.5000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Ey Up Its Jazz,6.0000,8.0000,Good To Soft,Turf,5.0000,7,155,104.9700,5.0000,106.1296,0.4760,178.8809,29.0000,-1.0000,0,177.8809,55.3000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Kinross Claret (IRE),7.0000,8.0000,Good To Soft,Turf,5.0000,4,146,104.9700,6.5000,106.1296,0.4760,166.0571,20.0000,0.0000,0,166.0571,47.6000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Rainwater,8.0000,8.0000,Good To Soft,Turf,5.0000,5,147,104.9700,8.0000,106.1296,0.4760,163.2332,21.0000,0.0000,0,163.2332,45.6000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Star Start (IRE),9.0000,8.0000,Good To Soft,Turf,5.0000,6,150,104.9700,8.5000,106.1296,0.4760,164.9586,24.0000,0.0000,0,164.9586,44.5000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Oilisa,10.0000,8.0000,Good To Soft,Turf,5.0000,4,142,104.9700,9.7500,106.1296,0.4760,153.7720,16.0000,0.0000,5,153.7720,42.1000,high
DONCASTER,1,2026-03-29_DONCASTER_1,King Of Speed (IRE),11.0000,8.0000,Good To Soft,Turf,5.0000,7,147,104.9700,12.7500,106.1296,0.4760,151.1243,21.0000,-1.0000,0,150.1243,31.6000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Dapper Gee Gee,12.0000,8.0000,Good To Soft,Turf,5.0000,4,155,104.9700,12.9000,106.1296,0.4760,158.7419,29.0000,0.0000,0,158.7419,36.0000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Cartwheel,13.0000,8.0000,Good To Soft,Turf,5.0000,4,152,104.9700,14.1500,106.1296,0.4760,152.5554,26.0000,0.0000,5,152.5554,32.2000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Misemerald (IRE),14.0000,8.0000,Good To Soft,Turf,5.0000,5,139,104.9700,14.2000,106.1296,0.4760,139.4279,13.0000,0.0000,5,139.4279,26.9000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Alazwar (IRE),15.0000,8.0000,Good To Soft,Turf,5.0000,8,150,104.9700,15.4500,106.1296,0.4760,147.2414,24.0000,-1.5000,0,145.7414,22.4000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Thanks Angel (IRE),16.0000,8.0000,Good To Soft,Turf,5.0000,4,155,104.9700,15.6000,106.1296,0.4760,151.8590,29.0000,0.0000,5,151.8590,25.9000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Woodleigh (IRE),17.0000,8.0000,Good To Soft,Turf,5.0000,5,144,104.9700,16.1000,106.1296,0.4760,139.5844,18.0000,0.0000,0,139.5844,18.4000,high
DONCASTER,1,2026-03-29_DONCASTER_1,King Of York (IRE),18.0000,8.0000,Good To Soft,Turf,5.0000,7,156,104.9700,16.6000,106.1296,0.4760,150.8299,30.0000,-1.0000,0,149.8299,20.2000,high
DONCASTER,1,2026-03-29_DONCASTER_1,Amaysmont,19.0000,8.0000,Good To Soft,Turf,5.0000,9,137,104.9700,20.6000,106.1296,0.4760,126.7314,11.0000,-2.0000,0,124.7314,26.1000,low
