courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
BATH,1,2026-04-05_BATH_1,Man Is King (IRE),1.0000,8.0000,Good,Turf,6.0000,7,143,100.5400,,111.5994,2.6619,-0.4282,208.5324,17.0000,-1.0000,0,207.5324,80.0000,high
BATH,1,2026-04-05_BATH_1,Amathus (IRE),2.0000,8.0000,Good,Turf,6.0000,9,150,100.5400,2.5000,111.5994,2.6619,-0.4282,208.8778,24.0000,-2.0000,0,206.8778,78.0000,high
BATH,1,2026-04-05_BATH_1,Romanovich (IRE),3.0000,8.0000,Good,Turf,6.0000,7,153,100.5400,4.5000,111.5994,2.6619,-0.4282,206.5541,27.0000,-1.0000,0,205.5541,76.2000,high
BATH,1,2026-04-05_BATH_1,King of The Dance (IRE),4.0000,8.0000,Good,Turf,6.0000,7,149,100.5400,9.5000,111.5994,2.6619,-0.4282,189.2447,23.0000,-1.0000,0,188.2447,64.6000,high
BATH,1,2026-04-05_BATH_1,Ciotog (IRE),5.0000,8.0000,Good,Turf,6.0000,8,149,100.5400,10.2500,111.5994,2.6619,-0.4282,187.2484,23.0000,-1.5000,0,185.7484,58.5000,high
BATH,1,2026-04-05_BATH_1,Wrist Art (IRE),6.0000,8.0000,Good,Turf,6.0000,9,142,100.5400,10.7500,111.5994,2.6619,-0.4282,178.9174,16.0000,-2.0000,0,176.9174,53.8000,high
BATH,1,2026-04-05_BATH_1,Scarfo (IRE),7.0000,8.0000,Good,Turf,6.0000,5,142,100.5400,12.0000,111.5994,2.6619,-0.4282,175.5901,16.0000,0.0000,0,175.5901,52.6000,high
BATH,1,2026-04-05_BATH_1,Never Dream (IRE),8.0000,8.0000,Good,Turf,6.0000,5,147,100.5400,12.7500,111.5994,2.6619,-0.4282,178.5937,21.0000,0.0000,0,178.5937,53.8000,high
BATH,1,2026-04-05_BATH_1,Pay Attention,9.0000,8.0000,Good,Turf,6.0000,4,155,100.5400,17.5000,111.5994,2.6619,-0.4282,173.9499,29.0000,0.0000,0,173.9499,44.9000,high
BATH,1,2026-04-05_BATH_1,Alazwar (IRE),10.0000,8.0000,Good,Turf,6.0000,8,156,100.5400,24.0000,111.5994,2.6619,-0.4282,158.4122,30.0000,-1.5000,0,156.9122,48.0000,low
BATH,1,2026-04-05_BATH_1,Saturnalia (GER),11.0000,8.0000,Good,Turf,6.0000,6,151,100.5400,28.0000,111.5994,2.6619,-0.4282,148.0885,25.0000,0.0000,0,148.0885,44.0000,low
BATH,2,2026-04-05_BATH_2,Tricky Jenny,0.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,,69.2375,4.1259,-0.4282,,0.0000,20.4091,5,,,high
BATH,2,2026-04-05_BATH_2,Dees Star (IRE),0.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,,69.2375,4.1259,-0.4282,,0.0000,20.4091,5,,,high
BATH,2,2026-04-05_BATH_2,Devon Angel,0.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,,69.2375,4.1259,-0.4282,,0.0000,20.4091,5,,,high
BATH,2,2026-04-05_BATH_2,Jolly Good Fellows (IRE),1.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,,69.2375,4.1259,-0.4282,195.2798,2.0000,20.4091,5,215.6889,75.9000,high
BATH,2,2026-04-05_BATH_2,Rons Angel,2.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,0.1500,69.2375,4.1259,-0.4282,194.6609,2.0000,20.4091,5,215.0700,74.9000,high
BATH,2,2026-04-05_BATH_2,Top Cote (IRE),3.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,3.6500,69.2375,4.1259,-0.4282,185.2203,7.0000,20.4091,0,205.6294,66.6000,high
BATH,2,2026-04-05_BATH_2,Terry O,4.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,4.1500,69.2375,4.1259,-0.4282,183.1574,7.0000,20.4091,0,203.5665,64.0000,high
BATH,2,2026-04-05_BATH_2,Binfluencer,5.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,4.3000,69.2375,4.1259,-0.4282,182.5385,7.0000,20.4091,0,202.9476,61.3000,high
BATH,2,2026-04-05_BATH_2,Postremo (IRE),6.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,5.3000,69.2375,4.1259,-0.4282,178.4126,7.0000,20.4091,0,198.8217,54.9000,high
BATH,2,2026-04-05_BATH_2,Sayidah Ardad,7.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,6.5500,69.2375,4.1259,-0.4282,168.2553,2.0000,20.4091,5,188.6643,49.5000,high
BATH,2,2026-04-05_BATH_2,Doha Rd,8.0000,5.0455,Good,Turf,3.0000,2,128,62.0300,8.3000,69.2375,4.1259,-0.4282,161.0350,2.0000,20.4091,5,181.4440,44.2000,high
BATH,2,2026-04-05_BATH_2,Tree Wizard,9.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,11.0500,69.2375,4.1259,-0.4282,154.6888,7.0000,20.4091,0,175.0979,38.0000,high
BATH,2,2026-04-05_BATH_2,Zelen,10.0000,5.0455,Good,Turf,3.0000,2,133,62.0300,14.0500,69.2375,4.1259,-0.4282,142.3111,7.0000,20.4091,0,162.7202,30.4000,high
BATH,3,2026-04-05_BATH_3,Marty Hopkirk (IRE),0.0000,5.0455,Good,Turf,3.0000,4,130,60.8000,,69.2375,4.2094,-0.4282,,0.0000,0.0000,0,,,high
BATH,3,2026-04-05_BATH_3,Desert Cop,0.0000,5.0455,Good,Turf,3.0000,6,137,60.8000,,69.2375,4.2094,-0.4282,,0.0000,0.0000,0,,,high
BATH,3,2026-04-05_BATH_3,Regal Envoy (IRE),1.0000,5.0455,Good,Turf,3.0000,7,130,60.8000,,69.2375,4.2094,-0.4282,220.0126,4.0000,-1.0000,0,219.0126,79.4000,high
BATH,3,2026-04-05_BATH_3,Sturlasson (IRE),2.0000,5.0455,Good,Turf,3.0000,5,133,60.8000,0.7500,69.2375,4.2094,-0.4282,219.8556,7.0000,0.0000,0,219.8556,80.1000,high
BATH,3,2026-04-05_BATH_3,Angel Shared,3.0000,5.0455,Good,Turf,3.0000,5,129,60.8000,0.7800,69.2375,4.2094,-0.4282,215.7293,3.0000,0.0000,5,215.7293,74.5000,high
BATH,3,2026-04-05_BATH_3,Rubys Profit (IRE),4.0000,5.0455,Good,Turf,3.0000,4,132,60.8000,0.8300,69.2375,4.2094,-0.4282,218.5188,6.0000,0.0000,5,218.5188,77.1000,high
BATH,3,2026-04-05_BATH_3,Fidelius,5.0000,5.0455,Good,Turf,3.0000,5,134,60.8000,2.0800,69.2375,4.2094,-0.4282,215.2571,8.0000,0.0000,0,215.2571,73.5000,high
BATH,3,2026-04-05_BATH_3,Moulin Booj (IRE),6.0000,5.0455,Good,Turf,3.0000,6,128,60.8000,8.0800,69.2375,4.2094,-0.4282,184.0010,2.0000,0.0000,0,184.0010,47.8000,high
BATH,4,2026-04-05_BATH_4,Over Spiced,1.0000,5.0455,Good,Turf,5.0000,4,129,61.5300,,69.2375,4.1594,-0.4282,205.5208,3.0000,0.0000,5,205.5208,75.6000,high
BATH,4,2026-04-05_BATH_4,Toolatetonegotiate,2.0000,5.0455,Good,Turf,5.0000,4,135,61.5300,0.1500,69.2375,4.1594,-0.4282,210.8969,9.0000,0.0000,5,210.8969,77.6000,high
BATH,4,2026-04-05_BATH_4,Diomed Spirit,3.0000,5.0455,Good,Turf,5.0000,6,119,61.5300,1.1500,69.2375,4.1594,-0.4282,190.7374,-7.0000,0.0000,0,190.7374,59.1000,high
BATH,4,2026-04-05_BATH_4,Tees Aggregates (IRE),4.0000,5.0455,Good,Turf,5.0000,4,135,61.5300,1.6500,69.2375,4.1594,-0.4282,204.6577,9.0000,0.0000,0,204.6577,71.6000,high
BATH,4,2026-04-05_BATH_4,Smooth Silesie (IRE),5.0000,5.0455,Good,Turf,5.0000,5,134,61.5300,2.4000,69.2375,4.1594,-0.4282,200.5382,8.0000,0.0000,5,200.5382,68.5000,high
BATH,4,2026-04-05_BATH_4,Aces Wild (IRE),6.0000,5.0455,Good,Turf,5.0000,7,134,61.5300,3.4000,69.2375,4.1594,-0.4282,196.3788,8.0000,-1.0000,0,195.3788,63.7000,high
BATH,5,2026-04-05_BATH_5,Miss Magic Dragon,1.0000,5.7273,Good,Turf,6.0000,3,131,70.9300,,81.3917,3.7055,-0.4282,234.3191,5.0000,12.0000,5,246.3191,76.7000,high
BATH,5,2026-04-05_BATH_5,Rogue Rebellion,2.0000,5.7273,Good,Turf,6.0000,3,131,70.9300,0.1500,81.3917,3.7055,-0.4282,233.7633,5.0000,12.0000,0,245.7633,74.9000,high
BATH,5,2026-04-05_BATH_5,Cougar Force,3.0000,5.7273,Good,Turf,6.0000,3,126,70.9300,0.3000,81.3917,3.7055,-0.4282,228.2074,0.0000,12.0000,5,240.2074,68.6000,high
BATH,5,2026-04-05_BATH_5,Cape Toronada (FR),4.0000,5.7273,Good,Turf,6.0000,3,133,70.9300,0.4500,81.3917,3.7055,-0.4282,234.6516,7.0000,12.0000,5,246.6516,72.0000,high
BATH,5,2026-04-05_BATH_5,Takincareofbizness (IRE),5.0000,5.7273,Good,Turf,6.0000,3,132,70.9300,3.7000,81.3917,3.7055,-0.4282,221.6086,6.0000,12.0000,0,233.6086,64.0000,high
BATH,5,2026-04-05_BATH_5,Miss Ayala (IRE),6.0000,5.7273,Good,Turf,6.0000,3,127,70.9300,3.8500,81.3917,3.7055,-0.4282,216.0528,1.0000,12.0000,5,228.0528,57.7000,high
BATH,5,2026-04-05_BATH_5,Magnificent Mel (IRE),7.0000,5.7273,Good,Turf,6.0000,3,131,70.9300,4.0000,81.3917,3.7055,-0.4282,219.4969,5.0000,12.0000,5,231.4969,57.4000,high
BATH,5,2026-04-05_BATH_5,Baileys Ontherocks,8.0000,5.7273,Good,Turf,6.0000,3,131,70.9300,6.7500,81.3917,3.7055,-0.4282,209.3067,5.0000,12.0000,5,221.3067,49.7000,high
BATH,5,2026-04-05_BATH_5,Sands of Seve,9.0000,5.7273,Good,Turf,6.0000,3,135,70.9300,11.7500,81.3917,3.7055,-0.4282,194.7790,9.0000,12.0000,0,206.7790,43.6000,high
BATH,5,2026-04-05_BATH_5,Ken Brulee,10.0000,5.7273,Good,Turf,6.0000,3,133,70.9300,23.7500,81.3917,3.7055,-0.4282,148.9136,7.0000,12.0000,0,160.9136,28.6000,low
BATH,6,2026-04-05_BATH_6,Virtual Hug (IRE),1.0000,11.6227,Good,Turf,6.0000,8,125,149.8100,,167.5889,1.8629,-0.4282,205.5945,-1.0000,-1.5000,0,204.0945,68.6000,high
BATH,6,2026-04-05_BATH_6,Bobby Dassler (IRE),2.0000,11.6227,Good,Turf,6.0000,7,128,149.8100,1.2500,167.5889,1.8629,-0.4282,206.2659,2.0000,-1.0000,0,205.2659,67.4000,high
BATH,6,2026-04-05_BATH_6,Mrembo,3.0000,11.6227,Good,Turf,6.0000,7,134,149.8100,3.2500,167.5889,1.8629,-0.4282,208.5401,8.0000,-1.0000,5,207.5401,70.4000,high
BATH,6,2026-04-05_BATH_6,Two Plus Two (IRE),4.0000,11.6227,Good,Turf,6.0000,6,133,149.8100,6.7500,167.5889,1.8629,-0.4282,201.0200,7.0000,0.0000,0,201.0200,63.5000,high
BATH,6,2026-04-05_BATH_6,Knightmare (IRE),5.0000,11.6227,Good,Turf,6.0000,4,127,149.8100,7.5000,167.5889,1.8629,-0.4282,193.6228,1.0000,0.0000,0,193.6228,57.8000,high
BATH,6,2026-04-05_BATH_6,Buck Barrow,6.0000,11.6227,Good,Turf,6.0000,4,129,149.8100,9.5000,167.5889,1.8629,-0.4282,191.8970,3.0000,0.0000,0,191.8970,58.0000,high
BATH,6,2026-04-05_BATH_6,Maywedance (IRE),7.0000,11.6227,Good,Turf,6.0000,4,130,149.8100,10.2500,167.5889,1.8629,-0.4282,191.4998,4.0000,0.0000,5,191.4998,54.0000,high
BATH,6,2026-04-05_BATH_6,Beaune (IRE),8.0000,11.6227,Good,Turf,6.0000,4,135,149.8100,12.5000,167.5889,1.8629,-0.4282,192.3083,9.0000,0.0000,0,192.3083,55.2000,high
BATH,6,2026-04-05_BATH_6,Bohemian Breeze (IRE),9.0000,11.6227,Good,Turf,6.0000,6,134,149.8100,16.7500,167.5889,1.8629,-0.4282,183.3910,8.0000,0.0000,0,183.3910,43.9000,high
BATH,7,2026-04-05_BATH_7,Lady Of Clover (IRE),0.0000,8.0000,Good,Turf,6.0000,3,129,100.7500,,111.5994,2.6563,-0.4282,,0.0000,11.0000,5,,,high
BATH,7,2026-04-05_BATH_7,Henfield,0.0000,8.0000,Good,Turf,6.0000,3,130,100.7500,,111.5994,2.6563,-0.4282,,0.0000,11.0000,5,,,high
BATH,7,2026-04-05_BATH_7,Sail On Sailor,1.0000,8.0000,Good,Turf,6.0000,3,135,100.7500,,111.5994,2.6563,-0.4282,198.0145,9.0000,11.0000,0,209.0145,81.1000,high
BATH,7,2026-04-05_BATH_7,Alices Influence,2.0000,8.0000,Good,Turf,6.0000,3,131,100.7500,0.0300,111.5994,2.6563,-0.4282,193.9348,5.0000,11.0000,5,204.9348,76.9000,high
BATH,7,2026-04-05_BATH_7,Mali Star (IRE),3.0000,8.0000,Good,Turf,6.0000,3,132,100.7500,0.5300,111.5994,2.6563,-0.4282,193.6066,6.0000,11.0000,0,204.6066,76.3000,high
BATH,7,2026-04-05_BATH_7,Marveling,4.0000,8.0000,Good,Turf,6.0000,3,134,100.7500,1.7800,111.5994,2.6563,-0.4282,192.2862,8.0000,11.0000,5,203.2862,74.0000,high
BATH,7,2026-04-05_BATH_7,Shes Got The Blues (IRE),5.0000,8.0000,Good,Turf,6.0000,3,129,100.7500,6.2800,111.5994,2.6563,-0.4282,175.3328,3.0000,11.0000,5,186.3328,60.3000,high
BATH,7,2026-04-05_BATH_7,Grand Echo (IRE),6.0000,8.0000,Good,Turf,6.0000,3,131,100.7500,9.0300,111.5994,2.6563,-0.4282,170.0279,5.0000,11.0000,0,181.0279,58.1000,high
BATH,7,2026-04-05_BATH_7,Resalah (IRE),7.0000,8.0000,Good,Turf,6.0000,3,129,100.7500,10.7800,111.5994,2.6563,-0.4282,163.3794,3.0000,11.0000,5,174.3794,48.4000,high
BATH,7,2026-04-05_BATH_7,Pams Sonnet,8.0000,8.0000,Good,Turf,6.0000,3,132,100.7500,23.7800,111.5994,2.6563,-0.4282,132.3180,6.0000,11.0000,5,143.3180,37.6000,low
BEVERLEY,1,2026-04-05_BEVERLEY_1,Mr De Maggs,0.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,,67.0067,4.0116,0.1243,,0.0000,20.0000,0,,,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Golden Buzz (IRE),0.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.6100,,67.0067,4.0116,0.1243,,0.0000,20.0000,5,,,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Brandenburg,1.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,,67.0067,4.0116,0.1243,183.5083,7.0000,20.0000,0,203.5083,76.9000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Concert Pitch (IRE),2.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,0.5000,67.0067,4.0116,0.1243,181.5026,7.0000,20.0000,0,201.5026,75.0000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Lairy Mary,3.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.6100,3.5000,67.0067,4.0116,0.1243,164.4678,2.0000,20.0000,5,184.4678,60.4000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Furturra,4.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,3.5500,67.0067,4.0116,0.1243,169.2673,7.0000,20.0000,0,189.2673,63.6000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Givendale,5.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.6100,3.5800,67.0067,4.0116,0.1243,164.1469,2.0000,20.0000,5,184.1469,58.2000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Flashing Star,6.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,3.6100,67.0067,4.0116,0.1243,169.0266,7.0000,20.0000,0,189.0266,59.4000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Brixworth Bandit,7.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.6100,9.1100,67.0067,4.0116,0.1243,146.9629,7.0000,20.0000,0,166.9629,44.2000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Spark In The Coal (IRE),8.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.6100,10.1100,67.0067,4.0116,0.1243,137.9513,2.0000,20.0000,5,157.9513,32.5000,high
BEVERLEY,1,2026-04-05_BEVERLEY_1,Spear Of Artemis,9.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.6100,14.6100,67.0067,4.0116,0.1243,119.8992,2.0000,20.0000,5,139.8992,20.4000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Moonlight Tango,1.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.2900,,67.0067,4.0319,0.1243,184.6015,2.0000,20.0000,5,204.6015,76.8000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,May Bee In Profit,2.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.2900,0.5000,67.0067,4.0319,0.1243,182.5856,2.0000,20.0000,5,202.5856,74.9000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Bella Lucia,3.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.2900,2.2500,67.0067,4.0319,0.1243,175.5298,2.0000,20.0000,5,195.5298,68.8000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Lady Dublin,4.0000,5.0000,Good To Soft,Turf,4.0000,2,128,63.2900,3.0000,67.0067,4.0319,0.1243,172.5059,2.0000,20.0000,5,192.5059,65.4000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Explainingislosing,5.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.2900,4.2500,67.0067,4.0319,0.1243,172.4661,7.0000,20.0000,0,192.4661,64.2000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Enemy Action (IRE),6.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.2900,4.7500,67.0067,4.0319,0.1243,170.4502,7.0000,20.0000,0,190.4502,61.0000,high
BEVERLEY,2,2026-04-05_BEVERLEY_2,Craven Force (IRE),7.0000,5.0000,Good To Soft,Turf,4.0000,2,133,63.2900,4.9000,67.0067,4.0319,0.1243,169.8454,7.0000,20.0000,0,189.8454,59.4000,high
