meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,corrected_time,deviation_seconds,deviation_lengths,deviation_lbs,winner_figure,bl_effective,lbs_behind,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-06-29,DAX,3,2026-06-29_DAX_3,CRACKING GOOD TIME,1.0000,2100,Bon souple,Turf,6,3,128.9703,140.4000,0.0000,133.4347,1.8035,-0.0001,140.6352,7.2005,36.0024,64.9289,35.0711,0.0000,0.0000,35.0711,2.9703,38.0414,1.5610,39.6023,22.9920,22.9920,
2026-06-29,DAX,3,2026-06-29_DAX_3,YAGGERA,2.0000,2100,Bon souple,Turf,6,3,122.3564,,1.2500,133.4347,1.8035,-0.0001,,,,,35.0711,1.2500,2.2543,32.8168,-3.6436,29.1732,1.5610,30.7341,17.0148,17.0148,
2026-06-29,DAX,3,2026-06-29_DAX_3,LE LEGIONNAIRE,3.0000,2100,Bon souple,Turf,6,3,125.6633,,2.5000,133.4347,1.8035,-0.0001,,,,,35.0711,2.5000,4.5087,30.5624,-0.3367,30.2258,1.5610,31.7867,17.7243,17.7243,
2026-06-29,DAX,3,2026-06-29_DAX_3,LITTORAL NORD,4.0000,2100,Bon souple,Turf,6,3,130.0726,,3.2500,133.4347,1.8035,-0.0001,,,,,35.0711,3.2500,5.8612,29.2098,4.0726,33.2824,1.5610,34.8434,19.7844,19.7844,
2026-06-29,DAX,3,2026-06-29_DAX_3,IVAWAI,5.0000,2100,Bon souple,Turf,6,3,120.1518,,18.2500,133.4347,1.8035,-0.0001,,,,,35.0711,18.2500,32.9132,2.1579,-5.8482,-3.6903,1.5610,-2.1293,-5.1352,-5.1352,
2026-06-29,DAX,3,2026-06-29_DAX_3,INFINITY CHOP,6.0000,2100,Bon souple,Turf,6,3,123.4587,,21.7500,133.4347,1.8035,-0.0001,,,,,35.0711,20.8754,37.6481,-2.5770,-2.5413,-5.1183,1.5610,-3.5573,,,excluded: beaten >20 lengths
2026-06-29,DAX,4,2026-06-29_DAX_4,MIRAGE BLOU,1.0000,2100,Bon souple,Turf,6,4,130.0726,129.1000,0.0000,133.4347,1.9613,-0.0001,129.3352,-4.0995,-20.4976,-40.2023,100.0000,0.0000,0.0000,100.0000,4.0726,104.0726,0.0000,104.0726,66.4449,66.4449,
2026-06-29,DAX,4,2026-06-29_DAX_4,CHARM KING,2.0000,2100,Bon souple,Turf,6,9,130.0726,,1.2500,133.4347,1.9613,-0.0001,,,,,100.0000,1.2500,2.4516,97.5484,4.0726,101.6209,0.0000,101.6209,64.7925,64.7925,
2026-06-29,DAX,4,2026-06-29_DAX_4,PIETER DE HOOCH,3.0000,2100,Bon souple,Turf,6,7,126.7656,,1.3500,133.4347,1.9613,-0.0001,,,,,100.0000,1.3500,2.6478,97.3522,0.7656,98.1179,0.0000,98.1179,62.4314,62.4314,
2026-06-29,DAX,4,2026-06-29_DAX_4,VARENNE,4.0000,2100,Bon souple,Turf,6,4,131.1749,,2.1000,133.4347,1.9613,-0.0001,,,,,100.0000,2.1000,4.1188,95.8812,5.1749,101.0561,0.0000,101.0561,64.4118,64.4118,
