courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Estissa,1.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,,121.3851,-0.3817,186.1994,-3.0000,8.0318,5,194.2313,37.9000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Define (IRE),2.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,0.7500,121.3851,-0.3817,184.1666,-3.0000,8.0318,5,192.1984,36.5000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Aurelune (IRE),3.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,9.7500,121.3851,-0.3817,159.7718,-3.0000,8.0318,5,167.8036,13.2000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Alice De Clare (IRE),4.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,10.2500,121.3851,-0.3817,158.4165,-3.0000,8.0318,5,166.4484,13.2000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Palace Artois,5.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,12.0000,121.3851,-0.3817,153.6731,-3.0000,8.0318,5,161.7049,8.6000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Regatta (IRE),6.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,13.7500,121.3851,-0.3817,148.9297,-3.0000,8.0318,5,156.9615,5.2000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Maid On The Shelf,7.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,16.0000,121.3851,-0.3817,142.8310,-3.0000,8.0318,5,150.8628,-5.2000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Golden Mabel,8.0000,8.6455,Standard,All Weather,4,3.0000,124.0000,110.8800,18.2500,121.3851,-0.3817,137.7323,-2.0000,8.0318,5,145.7642,-9.6000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Laravie (IRE),9.0000,8.6455,Standard,All Weather,4,7.0000,137.0000,110.8800,18.4000,121.3851,-0.3817,150.3258,11.0000,0.0000,5,150.3258,-7.1000,high
WOLVERHAMPTON,1,2026-03-23_WOLVERHAMPTON_1,Korbut,10.0000,8.6455,Standard,All Weather,4,3.0000,123.0000,110.8800,19.1500,121.3851,-0.3817,134.2929,-3.0000,8.0318,5,142.3247,-16.1000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Fistral Beach (IRE),1.0000,7.1636,Standard,All Weather,6,5.0000,135.0000,89.3300,,99.5032,-0.3817,218.7342,9.0000,0.0000,5,218.7342,55.0000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Sioux Warrior (IRE),2.0000,7.1636,Standard,All Weather,6,5.0000,134.0000,89.3300,0.5000,99.5032,-0.3817,216.0911,8.0000,0.0000,0,216.0911,54.0000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Hannahs Return,3.0000,7.1636,Standard,All Weather,6,7.0000,127.0000,89.3300,0.5500,99.5032,-0.3817,208.9268,1.0000,0.0000,5,208.9268,46.4000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Faster Bee,4.0000,7.1636,Standard,All Weather,6,5.0000,132.0000,89.3300,0.6500,99.5032,-0.3817,213.5981,6.0000,0.0000,0,213.5981,50.9000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Neptune Legend (IRE),5.0000,7.1636,Standard,All Weather,6,7.0000,133.0000,89.3300,1.4000,99.5032,-0.3817,212.1334,7.0000,0.0000,0,212.1334,49.5000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Zu Run,6.0000,7.1636,Standard,All Weather,6,6.0000,135.0000,89.3300,1.5500,99.5032,-0.3817,213.6405,9.0000,0.0000,0,213.6405,49.6000,high
WOLVERHAMPTON,2,2026-03-23_WOLVERHAMPTON_2,Blue Jay Way,7.0000,7.1636,Standard,All Weather,6,6.0000,132.0000,89.3300,3.0500,99.5032,-0.3817,205.7111,6.0000,0.0000,0,205.7111,44.1000,high
